year,cov_adj,intervention
2023,1,Scenario 4
2024,1,Scenario 4
2025,1,Scenario 4
2026,1,Scenario 4
2027,1,Scenario 4
2028,0.875,Scenario 4
2029,0.863636364,Scenario 4
2030,0.854166667,Scenario 4
2031,0.846153846,Scenario 4
2032,0.839285714,Scenario 4
2033,0.75,Scenario 4
2034,0.734375,Scenario 4
2035,0.720588235,Scenario 4
2036,0.708333333,Scenario 4
2037,0.697368421,Scenario 4
2038,0.6875,Scenario 4
2039,0.678571429,Scenario 4
2040,0.670454545,Scenario 4
2041,0.663043478,Scenario 4
2042,0.65625,Scenario 4
2043,0.65,Scenario 4
2044,0.644230769,Scenario 4
2045,0.638888889,Scenario 4
2046,0.633928571,Scenario 4
2047,0.629310345,Scenario 4
2048,0.625,Scenario 4
2049,0.620967742,Scenario 4
2050,0.6171875,Scenario 4
2023,1,Baseline
2024,1,Baseline
2025,1,Baseline
2026,1,Baseline
2027,1,Baseline
2028,0.782608696,Baseline
2029,0.781779661,Baseline
2030,0.780991736,Baseline
2031,0.780241935,Baseline
2032,0.779527559,Baseline
2033,0.586538462,Baseline
2034,0.584586466,Baseline
2035,0.582720588,Baseline
2036,0.580935252,Baseline
2037,0.579225352,Baseline
2038,0.577586207,Baseline
2039,0.576013514,Baseline
2040,0.574503311,Baseline
2041,0.573051948,Baseline
2042,0.571656051,Baseline
2043,0.5703125,Baseline
2044,0.569018405,Baseline
2045,0.567771084,Baseline
2046,0.566568047,Baseline
2047,0.565406977,Baseline
2048,0.564285714,Baseline
2049,0.563202247,Baseline
2050,0.562154696,Baseline
