"location_name","year","scenario","Control","Treated","Aware"
"Afghanistan",2017,"Baseline",0.0721738570798275,0.223676636104128,0.530227988677882
"Afghanistan",2017,"Scenario 1",0.0721738570798275,0.223676636104128,0.530227988677882
"Afghanistan",2017,"Scenario 2",0.0721738570798275,0.223676636104128,0.530227988677882
"Afghanistan",2017,"Scenario 3",0.0721738570798275,0.223676636104128,0.530227988677882
"Afghanistan",2017,"Scenario 4",0.0721738570798275,0.223676636104128,0.530227988677882
"Afghanistan",2018,"Baseline",0.0721738570798275,0.223676636104128,0.530227988677882
"Afghanistan",2018,"Scenario 1",0.0721738570798275,0.223676636104128,0.530227988677882
"Afghanistan",2018,"Scenario 2",0.0721738570798275,0.223676636104128,0.530227988677882
"Afghanistan",2018,"Scenario 3",0.0721738570798275,0.223676636104128,0.530227988677882
"Afghanistan",2018,"Scenario 4",0.0721738570798275,0.223676636104128,0.530227988677882
"Afghanistan",2019,"Baseline",0.0721738570798275,0.223676636104128,0.530227988677882
"Afghanistan",2019,"Scenario 1",0.0721738570798275,0.223676636104128,0.530227988677882
"Afghanistan",2019,"Scenario 2",0.0721738570798275,0.223676636104128,0.530227988677882
"Afghanistan",2019,"Scenario 3",0.0721738570798275,0.223676636104128,0.530227988677882
"Afghanistan",2019,"Scenario 4",0.0721738570798275,0.223676636104128,0.530227988677882
"Afghanistan",2020,"Baseline",0.0721738570798275,0.223676636104128,0.530227988677882
"Afghanistan",2020,"Scenario 1",0.0721738570798275,0.223676636104128,0.530227988677882
"Afghanistan",2020,"Scenario 2",0.0721738570798275,0.223676636104128,0.530227988677882
"Afghanistan",2020,"Scenario 3",0.0721738570798275,0.223676636104128,0.530227988677882
"Afghanistan",2020,"Scenario 4",0.0721738570798275,0.223676636104128,0.530227988677882
"Afghanistan",2021,"Baseline",0.0721738570798275,0.223676636104128,0.530227988677882
"Afghanistan",2021,"Scenario 1",0.0721738570798275,0.223676636104128,0.530227988677882
"Afghanistan",2021,"Scenario 2",0.0721738570798275,0.223676636104128,0.530227988677882
"Afghanistan",2021,"Scenario 3",0.0721738570798275,0.223676636104128,0.530227988677882
"Afghanistan",2021,"Scenario 4",0.0721738570798275,0.223676636104128,0.530227988677882
"Afghanistan",2022,"Baseline",0.0721738570798275,0.223676636104128,0.530227988677882
"Afghanistan",2022,"Scenario 1",0.0721738570798275,0.223676636104128,0.530227988677882
"Afghanistan",2022,"Scenario 2",0.0721738570798275,0.223676636104128,0.530227988677882
"Afghanistan",2022,"Scenario 3",0.0721738570798275,0.223676636104128,0.530227988677882
