location_name,Sample Size,CHD,Statin Use,Aspirin Use,Beta Blocker,ACEI or ARB,Other BP Lowering Medication,sev_ihd_female,sev_ihd_male,sev_stroke_female,sev_stroke_male,haqi,ldi_pc
India,29216,597,35,67,66,28,0,2.703480211,2.897590249,2.021136961,2.204897221,30.92446393,3005.3618
China,47786,2785,49,267,163,190,0,2.658266002,2.788987354,1.784541841,2.10742456,67.1834532,5944.7427
South Africa,4563,163,4,9,5,10,0,3.395658952,3.454596465,2.47002741,2.566366877,37.39587008,10129.048
Colombia,7544,183,36,62,48,60,0,2.852944142,2.844226429,1.756608812,1.913249611,62.00607945,8640.8115
United Arab Emirates,1499,63,37,40,23,25,0,3.085137364,2.955315831,2.049506956,2.00881424,56.3293774,80604.883
Zimbabwe,1261,45,0,1,3,3,0,3.502006751,3.296286957,2.449544745,2.245144222,23.38336722,1631.8679
Brazil,6081,330,100,109,139,151,0,2.996525597,2.993286344,1.958802789,2.094249962,55.81628176,10863.187
Sweden,4151,123,84,91,79,48,0,2.985337227,3.060032567,1.94436128,2.100785984,94.02480633,39997.43
Chile,5491,253,73,103,57,120,2,3.188696612,3.283911871,2.072514668,2.340751071,71.41382837,15727.215
Iran (Islamic Republic of),6013,309,93,154,149,67,0,2.850218271,2.854082977,1.79670488,1.804454777,62.02608901,12269.319
Canada,10409,484,367,309,225,286,0,2.835530085,2.923104089,1.667565949,1.834053704,92.53137377,39143.379
Argentina,11480,461,88,119,175,219,0,2.68904074,2.864495346,1.739692515,2.014430052,62.41621472,12763.155
Poland,14985,1299,543,608,434,571,12,3.137723663,3.508736796,2.101131156,2.659637431,74.38373619,16517.221
Malaysia,15754,289,52,39,36,38,0,3.20449518,3.461931875,2.093690802,2.283397584,58.52392485,16564.689
Bangladesh,2925,22,0,0,1,0,0,2.590330146,2.828805476,1.795178307,1.834470305,34.26511317,1801.1437
Turkey,4222,234,52,84,86,52,0,3.028658781,3.264438918,1.961380411,2.033698214,64.53390462,13822.316
Pakistan,2721,77,6,23,16,10,0,3.010576289,3.260535233,2.118943623,2.329483342,27.28358465,3193.2532
United Republic of Tanzania,2045,85,0,1,0,1,0,2.860818919,3.036762502,2.053927805,2.232432725,29.12843887,1556.7161
Palestine,1668,100,39,25,22,31,0,3.186427235,3.279791701,2.024018457,2.034942666,52.86686436,3547.8796
Saudi Arabia,2046,51,28,25,22,15,0,3.132529571,3.257467254,2.049765189,2.156745054,62.61797125,35108.691
Philippines,4866,82,16,15,9,40,0,2.815130952,2.894541048,1.934976265,2.244552266,41.69858171,4574.6138
Uruguay,1550,184,58,57,51,86,0,3.18052751,3.329518544,2.056503068,2.255743553,67.05508711,11632.562
Russian Federation,2999,322,8,27,10,46,0,3.162538148,3.606133625,2.124546743,2.664417922,66.58399246,15955.196
Kazakhstan,2299,218,8,63,45,56,0,2.930296602,3.339186291,2.220661286,2.702854855,55.21990477,12257.466
Kyrgyzstan,2000,244,36,106,92,72,0,2.828047621,3.089131426,2.164901035,2.602513065,51.65658324,2167.0959
Ecuador,2028,27,1,0,0,3,0,2.67016466,2.839111606,1.657945889,1.836418083,53.9103662,7749.5376
