location_name,Sample Size,year,response_rate,pr_prior_cvd,pr_nocvd_10pct,pr_sta_sp,pr_sta_pp,pr_asa_sp,pr_asa_pp
Afghanistan," 1,621 ",2018,N/A,0.147,0.295,0.286,0.007,0.303,0.005
Algeria," 3,648 ",2016-17,93.8,0.077,0.334,0.284,0.090,0.342,0.135
Armenia," 1,399 ",2016,42,0.152,0.288,0.117,0.011,0.388,0.094
Azerbaijan," 1,783 ",2017,97.3,0.111,0.231,0.194,0.028,0.413,0.076
Bangladesh," 3,666 ",2018,83.8,0.141,0.108,0.247,0.042,0.297,0.033
Belarus," 3,453 ",2016,87.0,0.109,0.438,0.198,0.056,0.517,0.215
Benin," 2,010 ",2015,98.5,0.072,0.065,0.051,0.011,0.099,0.004
Bhutan," 1,343 ",2014,89.9,0.009,0.071,0.008,0.000,0.181,0.005
Botswana," 1,511 ",2014,64,0.090,0.105,0.035,0.023,0.095,0.022
Burkina Faso," 1,936 ",2013,97.2,0.065,0.021,0.038,0.000,0.052,0.005
Ecuador," 2,352 ",2018,69.4,0.111,0.037,0.161,0.112,0.198,0.071
Eswatini," 1,360 ",2014,70,0.073,0.114,0.043,0.010,0.241,0.081
Ethiopia," 3,236 ",2015,95.5,0.044,0.038,0.063,0.000,0.098,0.000
Georgia," 2,938 ",2016,75.7,0.274,0.283,0.070,0.011,0.201,0.054
Guyana," 1,370 ",2016,77,0.126,0.091,0.130,0.080,0.466,0.186
Iran," 14,378 ",2016,98.4,0.023,0.349,0.591,0.163,0.687,0.239
Iraq," 1,839 ",2015,93.5,0.100,0.437,0.350,N/A,0.649,N/A
Jordan," 2,595 ",2019,63,0.127,0.317,0.405,0.207,0.751,0.401
Kenya," 1,750 ",2015,93,0.070,0.056,0.022,0.000,0.027,0.000
Kiribati, 943 ,2015,55,0.111,0.225,0.086,0.000,0.267,0.000
Kyrgyzstan," 1,602 ",2013,100,0.158,0.229,0.063,0.013,0.372,0.152
Lebanon," 1,301 ",2017,65.9,0.061,0.440,0.465,0.137,0.533,0.203
Mexico," 20,287 ",2018-19,98,0.029,0.150,0.166,0.060,N/A,N/A
Moldova," 3,133 ",2013,83.5,0.196,0.416,0.155,0.014,0.411,0.096
Mongolia," 3,415 ",2019,98.0,0.183,0.207,0.090,0.033,0.374,0.223
Morocco," 2,782 ",2017,89,0.039,0.339,0.152,0.031,0.150,0.028
Myanmar," 5,506 ",2014,90,0.082,0.088,0.089,0.006,0.102,0.006
Nauru, 461 ,2015-16,74.5,0.255,0.195,0.129,0.060,0.275,0.101
Nepal," 2,662 ",2019,86.4,0.017,0.121,0.084,0.007,0.039,0.009
Solomon Islands," 1,155 ",2015,58.4,0.087,0.145,0.022,0.000,0.076,0.012
Sri Lanka," 3,148 ",2014,72,0.079,0.120,0.480,0.162,0.368,0.079
St. Vincent & the Grenadines," 1,965 ",2013,67.8,0.067,0.113,0.168,0.070,0.443,0.172
Sudan," 3,267 ",2016,88,0.021,0.275,0.182,0.026,0.405,0.064
Tajikistan," 1,330 ",2016,94,0.081,0.227,0.096,0.032,0.210,0.126
Timor Leste," 1,334 ",2014,96.3,0.016,0.114,0.050,0.000,0.100,0.007
Tokelau, 266 ,2014,70,0.083,0.399,0.097,0.129,0.258,0.104
Turkmenistan," 2,005 ",2018,93.8,0.124,0.162,0.276,0.146,0.740,0.572
Tuvalu, 615 ,2015,76,0.096,0.278,0.091,0.000,0.134,0.013
Uganda," 1,337 ",2014,92.2,0.110,0.053,0.047,0.000,0.104,0.000
Vietnam," 2,150 ",2015,79.8,0.102,0.094,0.172,0.012,0.218,0.020
Zambia," 1,597 ",2017,65,0.037,0.071,0.071,0.003,0.107,0.003
,,,,,,,,,
"(A) The sample includes non-pregnant individuals aged 40Ð69 years of age (40Ð64 years of age for Burkina Faso, Kyrgyzstan, Myanmar, and Tokelau.",,,,,,,,,
"(B) Estimated population of people aged 40Ð69 years in 2019, according to Global Burden of Disease study population projections",,,,,,,,,
