location_ncdrisc,base_inc
South Korea,0.020023565
Costa Rica,0.018277932
Portugal,0.016603831
Canada,0.015505703
Germany,0.015428384
Iceland,0.01531405
Singapore,0.014309338
Malta,0.014297427
Mauritius,0.013337426
Taiwan,0.012990562
Colombia,0.012969529
Poland,0.012169328
Switzerland,0.011873165
Brazil,0.011724179
Luxembourg,0.011539014
Turkey,0.011513468
Slovakia,0.011497754
Venezuela,0.011472693
El Salvador,0.011392129
Kuwait,0.011329239
Jordan,0.011243999
Nicaragua,0.011054635
Chile,0.010940018
Honduras,0.010869025
Czech Republic,0.010851109
Italy,0.010758787
Norway,0.010451619
Romania,0.01038381
Cyprus,0.010345386
Andorra,0.010331593
Brunei Darussalam,0.010310501
Spain,0.010218393
Kazakhstan,0.009997722
Greece,0.009908019
Panama,0.009809005
Seychelles,0.009785242
Austria,0.009566543
Serbia,0.009557421
Lebanon,0.009417408
Mexico,0.009382507
Qatar,0.009204107
Iran,0.009170836
Uruguay,0.009132153
United Kingdom,0.009124854
Barbados,0.009112129
Belgium,0.009016084
Japan,0.008760638
Ecuador,0.008698323
Ghana,0.008523553
Cuba,0.008465369
Finland,0.008442797
Occupied Palestinian Territory,0.008441063
Saudi Arabia,0.008289695
South Africa,0.008187609
Thailand,0.008067512
France,0.008043052
Bolivia,0.00799685
Mongolia,0.007928516
Namibia,0.007830194
Ireland,0.007813869
Guatemala,0.007792734
Montenegro,0.007670824
Bulgaria,0.007637395
Macedonia (TFYR),0.007629646
Hungary,0.007628182
Slovenia,0.00758049
Cambodia,0.007529481
Netherlands,0.007455138
Syrian Arab Republic,0.007381333
Sweden,0.007349465
Israel,0.00728088
United Arab Emirates,0.007256645
North Korea,0.007156678
Botswana,0.006921247
Bahrain,0.006827363
Peru,0.006646232
Lesotho,0.006526427
Belize,0.006315649
Saint Kitts and Nevis,0.006311253
Malaysia,0.006298381
Antigua and Barbuda,0.006275433
Yemen,0.006253166
Puerto Rico,0.006224814
New Zealand,0.006210519
Trinidad and Tobago,0.00620579
Philippines,0.006103294
Bahamas,0.006102157
Bosnia and Herzegovina,0.006018883
India,0.006017087
Egypt,0.005981993
Croatia,0.00591588
Saint Lucia,0.005906582
Dominican Republic,0.005903028
Algeria,0.005893028
Zimbabwe,0.00588337
Suriname,0.005803083
Tunisia,0.00558379
Viet Nam,0.005574552
Saint Vincent and the Grenadines,0.005565752
Mali,0.005534913
Russian Federation,0.00552865
Latvia,0.005517313
Dominica,0.005394636
Maldives,0.005358421
Grenada,0.005341528
Guyana,0.005312156
China,0.005270739
Eritrea,0.005240497
Cabo Verde,0.005084872
Gabon,0.005072222
Oman,0.005035546
Myanmar,0.005010439
United States of America,0.004911626
Malawi,0.004880843
Lao PDR,0.004819754
Sri Lanka,0.004682848
Nigeria,0.004671183
Lithuania,0.004625471
Burundi,0.004618086
Comoros,0.0046102
Iraq,0.004599663
South Sudan,0.004566366
DR Congo,0.004560401
Estonia,0.004512088
Djibouti,0.004495513
Georgia,0.004469161
Libya,0.00445304
Guinea Bissau,0.004450892
Angola,0.004377694
Mauritania,0.004372748
Swaziland,0.004371776
Chad,0.004358902
Afghanistan,0.004351405
Jamaica,0.004340469
Ukraine,0.004319394
Equatorial Guinea,0.004313203
Zambia,0.004121362
Paraguay,0.004051999
Bangladesh,0.003994097
Gambia,0.003897917
Palau,0.003854381
Congo,0.003830491
Somalia,0.003811219
Togo,0.003795259
Timor-Leste,0.00374669
Niue,0.00373991
Senegal,0.003692214
Cote d'Ivoire,0.003661054
Burkina Faso,0.00356693
Sierra Leone,0.003475844
Benin,0.003454453
Sao Tome and Principe,0.003400031
Liberia,0.003329683
Sudan,0.003217203
Morocco,0.003167492
Cook Islands,0.00306917
Australia,0.003064917
Guinea,0.003037314
Argentina,0.003032745
Micronesia (Federated States of),0.003017685
Tanzania,0.002989397
Nauru,0.002949089
Uganda,0.002892143
Cameroon,0.002890943
Madagascar,0.002868852
Mozambique,0.002853473
Uzbekistan,0.002751352
Albania,0.002747435
Belarus,0.002741287
Papua New Guinea,0.002734712
Nepal,0.002715936
Denmark,0.002682408
Azerbaijan,0.002680101
Niger,0.002633185
French Polynesia,0.002521828
Ethiopia,0.002498838
Moldova,0.002475515
Pakistan,0.002379553
Rwanda,0.002379225
Kyrgyzstan,0.002363063
Turkmenistan,0.002356655
Kenya,0.002338077
Bhutan,0.002280217
Fiji,0.002202781
Samoa,0.002139324
Armenia,0.002081649
Central African Republic,0.002068758
Tonga,0.001762426
Solomon Islands,0.001744137
Indonesia,0.001657452
Tajikistan,0.001395751
Marshall Islands,0.001355326
Vanuatu,0.001333328
Haiti,0.001034822
Tuvalu,0.000542838
Kiribati,-2.84E-05
