"location_name","iso3","pp_cov","sp_cov","cause"
"Afghanistan","AFG",0.061382305065463,0.0167710571753833,"ihd"
"Albania","ALB",0.0448037121773355,0.0500771939291724,"ihd"
"Algeria","DZA",0.0751601828883983,0.0329479993713405,"ihd"
"Andorra","AND",0.25360654319655,0.331269858833363,"ihd"
"Angola","AGO",0.0529464328381716,0.015331827869521,"ihd"
"Antigua and Barbuda","ATG",0.126489737787769,0.193915994185409,"ihd"
"Argentina","ARG",0.0819917567752192,0.0718814079145159,"ihd"
"Armenia","ARM",0.0428713219157629,0.0380016683882928,"ihd"
"Australia","AUS",0.180145194747625,0.269330363316129,"ihd"
"Austria","AUT",0.187109414217371,0.292454938362396,"ihd"
"Azerbaijan","AZE",0.0672852446506328,0.0622727721965557,"ihd"
"Bahamas","BHS",0.128298415832591,0.224299695682332,"ihd"
"Bahrain","BHR",0.110046053504832,0.210233975964736,"ihd"
"Bangladesh","BGD",0.0650454834332905,0.0148822950027331,"ihd"
"Barbados","BRB",0.184088701640764,0.198116694739459,"ihd"
"Belarus","BLR",0.0520895603040747,0.0657188230711827,"ihd"
"Belgium","BEL",0.262921068994631,0.304868490674748,"ihd"
"Belize","BLZ",0.0992359549485821,0.0289364346786051,"ihd"
"Benin","BEN",0.0399337666773324,0.00769875295685282,"ihd"
"Bhutan","BTN",0.0398244086305478,0.0188079376328145,"ihd"
"Bolivia (Plurinational State of)","BOL",0.123432667622302,0.027381997563617,"ihd"
"Bosnia and Herzegovina","BIH",0.0873406705989321,0.0694571400627424,"ihd"
"Botswana","BWA",0.0842944205880243,0.0594534591486857,"ihd"
"Brazil","BRA",0.173951801869677,0.0900424870380764,"ihd"
"Brunei Darussalam","BRN",0.206328969653486,0.312375270941003,"ihd"
"Bulgaria","BGR",0.129561200715815,0.0937082626393762,"ihd"
"Burkina Faso","BFA",0.0343608202266286,0.0080980299104588,"ihd"
"Burundi","BDI",0.0451832422620885,0.00528303360828832,"ihd"
"Cabo Verde","CPV",0.0601925611711378,0.0206344492396307,"ihd"
"Cambodia","KHM",0.0935337525708815,0.0142835590505982,"ihd"
"Cameroon","CMR",0.0298430766795698,0.00823739858868289,"ihd"
"Canada","CAN",0.426594863462216,0.350444929887917,"ihd"
"Central African Republic","CAF",0.0244634797869437,0.00435834102139148,"ihd"
"Chad","TCD",0.0473681043533853,0.0108959518883349,"ihd"
"Chile","CHL",0.191607569595131,0.226186035001864,"ihd"
"China","CHN",0.0822465859020906,0.0620425702694549,"ihd"
"Colombia","COL",0.164928382409791,0.076182581480699,"ihd"
"Comoros","COM",0.0458594889318919,0.00605951833410335,"ihd"
"Congo","COG",0.0413121304770207,0.0131873989162825,"ihd"
"Costa Rica","CRI",0.266783841313042,0.105901132206016,"ihd"
"Croatia","HRV",0.116509533777166,0.220502478123453,"ihd"
"Cuba","CUB",0.163917700259361,0.0676992920907911,"ihd"
"Cyprus","CYP",0.207456544328697,0.251782856585894,"ihd"
"Czechia","CZE",0.236876099316152,0.289962719008971,"ihd"
"Côte d'Ivoire","CIV",0.0370720466601148,0.0104274378151009,"ihd"
"Democratic People's Republic of Korea","PRK",0.102296924479193,0.0169694169315339,"ihd"
"Democratic Republic of the Congo","COD",0.048893572045078,0.00646615115385761,"ihd"
"Denmark","DNK",0.0730257103224163,0.208772180472892,"ihd"
"Djibouti","DJI",0.0477835655476901,0.0101315154410137,"ihd"
"Dominica","DMA",0.0872364837656679,0.0569514903010953,"ihd"
"Dominican Republic","DOM",0.108560804876754,0.0764243952110095,"ihd"
"Ecuador","ECU",0.14245868915785,0.0626804438025472,"ihd"
"Egypt","EGY",0.088282468435019,0.0326301396855691,"ihd"
"El Salvador","SLV",0.181777452148074,0.0401083938307598,"ihd"
"Equatorial Guinea","GNQ",0.0605305764870568,0.0644364744094945,"ihd"
"Eritrea","ERI",0.0541504622331098,0.00907668295905847,"ihd"
"Estonia","EST",0.0912524478943208,0.183928756076602,"ihd"
"Eswatini","SWZ",0.0531262589050227,0.0222008051905611,"ihd"
"Ethiopia","ETH",0.0247939888920972,0.00665897155351271,"ihd"
"Fiji","FJI",0.0582433598272942,0.0395290419548615,"ihd"
"Finland","FIN",0.192187047648797,0.276616977479967,"ihd"
"France","FRA",0.192033398670235,0.275440263198788,"ihd"
"Gabon","GAB",0.0619469193438233,0.0489958248885239,"ihd"
"Gambia","GMB",0.0385404296785678,0.0104311423112769,"ihd"
"Georgia","GEO",0.0854819295067257,0.0598016324294774,"ihd"
"Germany","DEU",0.32166234820652,0.325104225194631,"ihd"
"Ghana","GHA",0.07788357252235,0.0146598774481882,"ihd"
"Greece","GRC",0.211530091500303,0.261540743517765,"ihd"
"Grenada","GRD",0.0984077119815868,0.0697174588694612,"ihd"
