"wbregion","year","intervention","regimen","x50q30"
"East Asia and Pacific",2017,"Current care","Aspirin",0.224212747228992
"East Asia and Pacific",2017,"Scenario 1","Aspirin",0.224212747228992
"East Asia and Pacific",2017,"Scenario 1","No aspirin",0.224212747228992
"East Asia and Pacific",2017,"Scenario 2","Aspirin",0.224212747228992
"East Asia and Pacific",2017,"Scenario 2","No aspirin",0.224212747228992
"East Asia and Pacific",2017,"Scenario 3","Aspirin",0.224212747228992
"East Asia and Pacific",2017,"Scenario 3","No aspirin",0.224212747228992
"East Asia and Pacific",2017,"Scenario 4","Aspirin",0.224212747228992
"East Asia and Pacific",2017,"Scenario 4","No aspirin",0.224212747228992
"East Asia and Pacific",2018,"Current care","Aspirin",0.20942198489498
"East Asia and Pacific",2018,"Scenario 1","Aspirin",0.20942198489498
"East Asia and Pacific",2018,"Scenario 1","No aspirin",0.20942198489498
"East Asia and Pacific",2018,"Scenario 2","Aspirin",0.20942198489498
"East Asia and Pacific",2018,"Scenario 2","No aspirin",0.20942198489498
"East Asia and Pacific",2018,"Scenario 3","Aspirin",0.20942198489498
"East Asia and Pacific",2018,"Scenario 3","No aspirin",0.20942198489498
"East Asia and Pacific",2018,"Scenario 4","Aspirin",0.20942198489498
"East Asia and Pacific",2018,"Scenario 4","No aspirin",0.20942198489498
"East Asia and Pacific",2019,"Current care","Aspirin",0.209091830324921
"East Asia and Pacific",2019,"Scenario 1","Aspirin",0.209091830324921
"East Asia and Pacific",2019,"Scenario 1","No aspirin",0.209091830324921
"East Asia and Pacific",2019,"Scenario 2","Aspirin",0.209091830324921
"East Asia and Pacific",2019,"Scenario 2","No aspirin",0.209091830324921
"East Asia and Pacific",2019,"Scenario 3","Aspirin",0.209091830324921
"East Asia and Pacific",2019,"Scenario 3","No aspirin",0.209091830324921
"East Asia and Pacific",2019,"Scenario 4","Aspirin",0.209091830324921
"East Asia and Pacific",2019,"Scenario 4","No aspirin",0.209091830324921
"East Asia and Pacific",2020,"Current care","Aspirin",0.236509897482693
"East Asia and Pacific",2020,"Current care","No aspirin",0.0368597535380161
"East Asia and Pacific",2020,"Scenario 1","Aspirin",0.236509897482693
"East Asia and Pacific",2020,"Scenario 1","No aspirin",0.236509897482693
"East Asia and Pacific",2020,"Scenario 2","Aspirin",0.236509897482693
"East Asia and Pacific",2020,"Scenario 2","No aspirin",0.236509897482693
"East Asia and Pacific",2020,"Scenario 3","Aspirin",0.236509897482693
"East Asia and Pacific",2020,"Scenario 3","No aspirin",0.236509897482693
"East Asia and Pacific",2020,"Scenario 4","Aspirin",0.236509897482693
"East Asia and Pacific",2020,"Scenario 4","No aspirin",0.236509897482693
"East Asia and Pacific",2021,"Current care","Aspirin",0.236670970543019
"East Asia and Pacific",2021,"Current care","No aspirin",0.0377106883141173
"East Asia and Pacific",2021,"Scenario 1","Aspirin",0.236670970543019
"East Asia and Pacific",2021,"Scenario 1","No aspirin",0.236670970543019
"East Asia and Pacific",2021,"Scenario 2","Aspirin",0.236670970543019
"East Asia and Pacific",2021,"Scenario 2","No aspirin",0.236670970543019
"East Asia and Pacific",2021,"Scenario 3","Aspirin",0.236670970543019
"East Asia and Pacific",2021,"Scenario 3","No aspirin",0.236670970543019
"East Asia and Pacific",2021,"Scenario 4","Aspirin",0.236670970543019
"East Asia and Pacific",2021,"Scenario 4","No aspirin",0.236670970543019
"East Asia and Pacific",2022,"Current care","Aspirin",0.234414238678208
"East Asia and Pacific",2022,"Current care","No aspirin",0.0395793663440738
"East Asia and Pacific",2022,"Scenario 1","Aspirin",0.234414238678208
"East Asia and Pacific",2022,"Scenario 1","No aspirin",0.234414238678208
"East Asia and Pacific",2022,"Scenario 2","Aspirin",0.234414238678208
"East Asia and Pacific",2022,"Scenario 2","No aspirin",0.234414238678208
"East Asia and Pacific",2022,"Scenario 3","Aspirin",0.234414238678208
"East Asia and Pacific",2022,"Scenario 3","No aspirin",0.234414238678208
"East Asia and Pacific",2022,"Scenario 4","Aspirin",0.234414238678208
"East Asia and Pacific",2022,"Scenario 4","No aspirin",0.234414238678208
"East Asia and Pacific",2023,"Current care","Aspirin",0.232810731337691
"East Asia and Pacific",2023,"Current care","No aspirin",0.0399392055692624
"East Asia and Pacific",2023,"Scenario 1","Aspirin",0.232688163909042
"East Asia and Pacific",2023,"Scenario 1","No aspirin",0.232713064833509
"East Asia and Pacific",2023,"Scenario 2","Aspirin",0.232688163909042
"East Asia and Pacific",2023,"Scenario 2","No aspirin",0.232713064833509
"East Asia and Pacific",2023,"Scenario 3","Aspirin",0.232627109840003
