wb_region,iso3,location,wb2021
South Asia,AFG,Afghanistan,LIC
Europe and Central Asia,ALB,Albania,UMIC
Middle East and North Africa,DZA,Algeria,LMIC
East Asia and Pacific,ASM,American Samoa,UMIC
Europe and Central Asia,AND,Andorra,HIC
Sub-Saharan Africa,AGO,Angola,LMIC
Latin America & the Caribbean,ATG,Antigua and Barbuda,HIC
Latin America & the Caribbean,ARG,Argentina,UMIC
Europe and Central Asia,ARM,Armenia,UMIC
East Asia and Pacific,AUS,Australia,HIC
Europe and Central Asia,AUT,Austria,HIC
Europe and Central Asia,AZE,Azerbaijan,UMIC
Middle East and North Africa,BHR,Bahrain,HIC
South Asia,BGD,Bangladesh,LMIC
Latin America & the Caribbean,BRB,Barbados,HIC
Europe and Central Asia,BLR,Belarus,UMIC
Europe and Central Asia,BEL,Belgium,HIC
Latin America & the Caribbean,BLZ,Belize,LMIC
Sub-Saharan Africa,BEN,Benin,LMIC
North America,BMU,Bermuda,HIC
South Asia,BTN,Bhutan,LMIC
Latin America & the Caribbean,BOL,Bolivia,LMIC
Europe and Central Asia,BIH,Bosnia and Herzegovina,UMIC
Sub-Saharan Africa,BWA,Botswana,UMIC
Latin America & the Caribbean,BRA,Brazil,UMIC
East Asia and Pacific,BRN,Brunei Darussalam,HIC
Europe and Central Asia,BGR,Bulgaria,UMIC
Sub-Saharan Africa,BFA,Burkina Faso,LIC
Sub-Saharan Africa,BDI,Burundi,LIC
East Asia and Pacific,KHM,Cambodia,LMIC
Sub-Saharan Africa,CMR,Cameroon,LMIC
North America,CAN,Canada,HIC
Sub-Saharan Africa,CPV,Cabo Verde,LMIC
Sub-Saharan Africa,CAF,Central African Republic,LIC
Sub-Saharan Africa,TCD,Chad,LIC
Latin America & the Caribbean,CHL,Chile,HIC
East Asia and Pacific,CHN,China,UMIC
Latin America & the Caribbean,COL,Colombia,UMIC
Sub-Saharan Africa,COM,Comoros,LMIC
Sub-Saharan Africa,COG,"Congo, Rep.",LMIC
Latin America & the Caribbean,CRI,Costa Rica,UMIC
Sub-Saharan Africa,CIV,Cote d'Ivoire,LMIC
Europe and Central Asia,HRV,Croatia,HIC
Latin America & the Caribbean,CUB,Cuba,UMIC
Europe and Central Asia,CYP,Cyprus,HIC
Europe and Central Asia,CZE,Czech Republic,HIC
Sub-Saharan Africa,COD,"Congo, Dem. Rep.",LIC
Europe and Central Asia,DNK,Denmark,HIC
Middle East and North Africa,DJI,Djibouti,LMIC
Latin America & the Caribbean,DMA,Dominica,UMIC
Latin America & the Caribbean,DOM,Dominican Republic,UMIC
Latin America & the Caribbean,ECU,Ecuador,UMIC
Middle East and North Africa,EGY,"Egypt, Arab Rep.",LMIC
Latin America & the Caribbean,SLV,El Salvador,LMIC
Sub-Saharan Africa,GNQ,Equatorial Guinea,UMIC
Sub-Saharan Africa,ERI,Eritrea,LIC
Europe and Central Asia,EST,Estonia,HIC
Sub-Saharan Africa,ETH,Ethiopia,LIC
East Asia and Pacific,FSM,"Micronesia, Fed. Sts.",LMIC
East Asia and Pacific,FJI,Fiji,UMIC
Europe and Central Asia,FIN,Finland,HIC
Europe and Central Asia,FRA,France,HIC
Sub-Saharan Africa,GAB,Gabon,UMIC
Europe and Central Asia,GEO,Georgia,UMIC
Europe and Central Asia,DEU,Germany,HIC
