,intervention,year,Incidence,Prevalence,CVD_deaths,All_deaths,,,,
1,Baseline,2020,34069493.71,300482607.5,16822570.8,51493358.59,,,,
2,Baseline,2050,67332420.52,597084458.5,40408451.11,86392692.96,,,,
3,Scenario 1,2050,64550958.58,588463785.7,37920030.82,84575578.12,,,,
4,Scenario 2,2050,61005508.37,573839059.2,34984392.01,82470953.31,,,,
5,Scenario 3,2050,62282123.96,568152365.1,34726434.8,83069173.26,,,,
6,Scenario 4,2050,60760651.57,560907893.4,33536147.71,82174753.6,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,34.06949371,300.4826075,16.8225708,51.49335859,,,,
,,,67.33242052,597.0844585,40.40845111,86.39269296,,,,
,,,64.55095858,588.4637857,37.92003082,84.57557812,,2.781461941,0.014437946,2.488420297
,,,61.00550837,573.8390592,34.98439201,82.47095331,,6.326912157,0.03893151,5.424059108
,,,62.28212396,568.1523651,34.7264348,83.06917326,,5.05029656,0.048455613,5.682016314
,,,60.76065157,560.9078934,33.53614771,82.1747536,,6.571768954,0.06058869,6.872303405
