,intervention,year,Incidence,Prevalence,CVD_deaths,All_deaths
1,Baseline,2020,55863931.36,302239868.5,16238913.51,50914794.61
2,Baseline,2050,133044907.8,612067113,40119192.54,86184548.52
3,Scenario 1,2050,127195371.8,599649953.2,38395620.97,85150007.16
4,Scenario 2,2050,122197646,598552710.8,36728284.31,83727669.66
5,Scenario 3,2050,111193593.1,573911904.7,33027709.81,81038482.94
6,Scenario 4,2050,105665888.8,551161139.4,31087236.83,80503996.85
,,,,,,
,,,,,,
,,,,,,
,,,55.86393136,302.2398685,16.23891351,50.91479461
,,,133.0449078,612.067113,40.11919254,86.18454852
2.028725199,5.849536021,,127.1953718,599.6499532,38.39562097,85.15000716
2.207993519,10.84726183,,122.197646,598.5527108,36.72828431,83.72766966
6.233827543,21.85131473,,111.1935931,573.9119047,33.02770981,81.03848294
9.950865234,27.37901907,,105.6658888,551.1611394,31.08723683,80.50399685
,,,0,0,0,0
