,intervention,year,Incidence,Prevalence,CVD_deaths,All_deaths
1,Baseline,2020,55863931.36,302239868.5,16238913.51,50914794.61
2,Baseline,2050,133044907.8,612067113,40119192.54,86184548.52
3,Scenario 1,2050,129629999.5,608335585.1,39144819.08,85675720.93
4,Scenario 2,2050,125119051.8,607111821.1,37654727.16,84404635.55
5,Scenario 3,2050,115926714.5,589843381.6,34537750.21,82136178.79
6,Scenario 4,2050,111847387.8,577167412.5,33076485.47,81832264.77
,,,,,,
,,,,,,
,,,55.86393136,302.2398685,16.23891351,50.91479461
,,,133.0449078,612.067113,40.11919254,86.18454852
,3.414908283,,129.6299995,608.3355851,39.14481908,85.67572093
,7.925855992,,125.1190518,607.1118211,37.65472716,84.40463555
,17.1181933,,115.9267145,589.8433816,34.53775021,82.13617879
,21.19752003,,111.8473878,577.1674125,33.07648547,81.83226477
,,,0,0,0,0
