,intervention,year,Incidence,Prevalence,CVD_deaths,All_deaths
1,Alt Scenario 1,2050,125726690.4,604795615.9,37704453.44,84489002.15
2,Baseline,2020,55864889.01,302241640.7,16239013.22,50921161.68
3,Baseline,2050,133108610.2,612819681.3,40143239.81,86262185.55
4,Scenario 1,2050,129750050,609221779.6,39176370.38,85759897.08
5,Scenario 2,2050,125475581.4,607974216.6,37725973.75,84526195.71
6,Scenario 3,2050,120933318.7,598399548.8,36139438.1,83355249.68
7,Scenario 4,2050,115955588.6,590483346.6,34555131.44,82208318.87
8,Scenario 5,2050,111876117.4,577807377.5,33093866.7,81904404.86
,,,,,,
,,,,,,
,,,,,,
,,,55.86488901,302.2416407,16.23901322,50.92116168
,,,133.1086102,612.8196813,40.14323981,86.26218555
,,,129.75005,609.2217796,39.17637038,85.75989708
,,,125.4755814,607.9742166,37.72597375,84.52619571
,,,120.9333187,598.3995488,36.1394381,83.35524968
,,,115.9555886,590.4833466,34.55513144,82.20831887
,,,,,,
,,,,,,
,,,3.358560153,0.587106096,0.966869424,
,,,7.633028776,0.790683606,2.417266055,
,,,12.17529142,2.353079217,4.003801706,
,,,17.15302154,3.644846181,5.588108362,
