,intervention,year,Incidence,Prevalence,CVD_deaths,All_deaths
1,Baseline,2020,61395128.68,302239868.5,16238913.51,50914794.61
2,Baseline,2050,127640316.2,612067113,40119192.54,86184548.52
3,Scenario 1,2050,124869499.3,608335585.1,39144819.08,85675720.93
4,Scenario 2,2050,120443400.8,607111821.1,37654727.16,84404635.55
5,Scenario 3,2050,112242320,589843381.6,34537750.21,82136178.79
6,Scenario 4,2050,108582026,577167412.5,33076485.47,81832264.77
,,,,,,
,,,,,,
,,,,,,
,,,61.4,302,16,51
,,,127.6,612,40,86
,,,124.9,608,39,86
,,,120.4,607,38,84
,,,112.2,590,35,82
,,,108.6,577,33,82
,,,,,,
,,,,,,
,,,,,,
,,,2.8,0.609659917,0.97,
,,,7.2,0.809599433,2.46,
,,,15,3.630930488,5.58,
,,,19,5.701940152,7.04,
,,,,,,
