"year","metric","Intervention","value"
2017,"Cumulative cases averted","Scenario 1",0
2017,"Cumulative deaths averted","Scenario 1",0
2017,"Heart failure averted","Scenario 1",0
2017,"MI averted","Scenario 1",0
2017,"Stroke averted","Scenario 1",0
2018,"Cumulative cases averted","Scenario 1",0
2018,"Cumulative deaths averted","Scenario 1",0
2018,"Heart failure averted","Scenario 1",0
2018,"MI averted","Scenario 1",0
2018,"Stroke averted","Scenario 1",0
2019,"Cumulative cases averted","Scenario 1",0
2019,"Cumulative deaths averted","Scenario 1",0
2019,"Heart failure averted","Scenario 1",0
2019,"MI averted","Scenario 1",0
2019,"Stroke averted","Scenario 1",0
2020,"Cumulative cases averted","Scenario 1",0
2020,"Cumulative deaths averted","Scenario 1",0
2020,"Heart failure averted","Scenario 1",0
2020,"MI averted","Scenario 1",0
2020,"Stroke averted","Scenario 1",0
2021,"Cumulative cases averted","Scenario 1",0
2021,"Cumulative deaths averted","Scenario 1",0
2021,"Heart failure averted","Scenario 1",0
2021,"MI averted","Scenario 1",0
2021,"Stroke averted","Scenario 1",0
2022,"Cumulative cases averted","Scenario 1",0
2022,"Cumulative deaths averted","Scenario 1",0
2022,"Heart failure averted","Scenario 1",0
2022,"MI averted","Scenario 1",0
2022,"Stroke averted","Scenario 1",0
2023,"Cumulative cases averted","Scenario 1",152630.971144274
2023,"Cumulative deaths averted","Scenario 1",45305.9394189306
2023,"Heart failure averted","Scenario 1",14104.8408930367
2023,"MI averted","Scenario 1",60864.3501833454
2023,"Stroke averted","Scenario 1",77661.7800678909
2024,"Cumulative cases averted","Scenario 1",487754.882589929
2024,"Cumulative deaths averted","Scenario 1",144785.818785984
2024,"Heart failure averted","Scenario 1",44438.6243832316
2024,"MI averted","Scenario 1",193159.860715598
2024,"Stroke averted","Scenario 1",250156.397491101
2025,"Cumulative cases averted","Scenario 1",1021335.32151453
2025,"Cumulative deaths averted","Scenario 1",304117.246675324
2025,"Heart failure averted","Scenario 1",91838.9184079599
2025,"MI averted","Scenario 1",402049.913241711
2025,"Stroke averted","Scenario 1",527446.489864863
2026,"Cumulative cases averted","Scenario 1",1755990.75825787
2026,"Cumulative deaths averted","Scenario 1",526985.292219713
2026,"Heart failure averted","Scenario 1",155289.81590738
2026,"MI averted","Scenario 1",685496.64794926
2026,"Stroke averted","Scenario 1",915204.294401217
2027,"Cumulative cases averted","Scenario 1",2712631.237196
2027,"Cumulative deaths averted","Scenario 1",819614.638077531
2027,"Heart failure averted","Scenario 1",236473.37885378
2027,"MI averted","Scenario 1",1051624.87824332
2027,"Stroke averted","Scenario 1",1424532.9800989
2028,"Cumulative cases averted","Scenario 1",3912013.82594098
2028,"Cumulative deaths averted","Scenario 1",1188223.3551464
2028,"Heart failure averted","Scenario 1",337040.62073128
2028,"MI averted","Scenario 1",1508439.68617779
2028,"Stroke averted","Scenario 1",2066533.51903192
2029,"Cumulative cases averted","Scenario 1",5375164.89869665
2029,"Cumulative deaths averted","Scenario 1",1639138.44701545
2029,"Heart failure averted","Scenario 1",458685.667795368
2029,"MI averted","Scenario 1",2064039.63147228
2029,"Stroke averted","Scenario 1",2852439.599429
2030,"Cumulative cases averted","Scenario 1",7122132.8038906
2030,"Cumulative deaths averted","Scenario 1",2178419.47105983
2030,"Heart failure averted","Scenario 1",602965.547673136
2030,"MI averted","Scenario 1",2726154.39247175
2030,"Stroke averted","Scenario 1",3793012.86374572
2031,"Cumulative cases averted","Scenario 1",9172561.81265245
2031,"Cumulative deaths averted","Scenario 1",2811392.70073447
2031,"Heart failure averted","Scenario 1",771542.147086777
2031,"MI averted","Scenario 1",3502969.90881787
2031,"Stroke averted","Scenario 1",4898049.75674781
2032,"Cumulative cases averted","Scenario 1",11539285.9613695
2032,"Cumulative deaths averted","Scenario 1",3540591.46060834
2032,"Heart failure averted","Scenario 1",965131.529139327
2032,"MI averted","Scenario 1",4400077.23533003
2032,"Stroke averted","Scenario 1",6174077.19690013
2033,"Cumulative cases averted","Scenario 1",14237719.4367538
2033,"Cumulative deaths averted","Scenario 1",4370206.34674022
2033,"Heart failure averted","Scenario 1",1184644.84346699
2033,"MI averted","Scenario 1",5423535.94449085
2033,"Stroke averted","Scenario 1",7629538.64879598
2034,"Cumulative cases averted","Scenario 1",17282210.9062579
2034,"Cumulative deaths averted","Scenario 1",5304924.06247175
2034,"Heart failure averted","Scenario 1",1431271.495784
2034,"MI averted","Scenario 1",6579277.4595065
2034,"Stroke averted","Scenario 1",9271661.95096746
2035,"Cumulative cases averted","Scenario 1",20682212.3373153
2035,"Cumulative deaths averted","Scenario 1",6348154.09622312
2035,"Heart failure averted","Scenario 1",1705814.16695557
2035,"MI averted","Scenario 1",7871403.17067681
2035,"Stroke averted","Scenario 1",11104994.999683
2036,"Cumulative cases averted","Scenario 1",24442722.7288496
2036,"Cumulative deaths averted","Scenario 1",7501721.69819608
2036,"Heart failure averted","Scenario 1",2008435.44171711
2036,"MI averted","Scenario 1",9302393.74172317
2036,"Stroke averted","Scenario 1",13131893.5454093
2037,"Cumulative cases averted","Scenario 1",28552831.9623144
2037,"Cumulative deaths averted","Scenario 1",8763439.22783947
2037,"Heart failure averted","Scenario 1",2337404.19023372
2037,"MI averted","Scenario 1",10865641.3549058
2037,"Stroke averted","Scenario 1",15349786.417175
2038,"Cumulative cases averted","Scenario 1",32971251.4294394
2038,"Cumulative deaths averted","Scenario 1",10116177.1793297
2038,"Heart failure averted","Scenario 1",2689670.66361336
2038,"MI averted","Scenario 1",12540499.1518049
2038,"Stroke averted","Scenario 1",17741081.6140212
2039,"Cumulative cases averted","Scenario 1",37672212.20717
2039,"Cumulative deaths averted","Scenario 1",11546515.5326578
2039,"Heart failure averted","Scenario 1",3063820.87669454
2039,"MI averted","Scenario 1",14314482.8806822
2039,"Stroke averted","Scenario 1",20293908.4497932
2040,"Cumulative cases averted","Scenario 1",42654342.6244945
2040,"Cumulative deaths averted","Scenario 1",13053032.3564975
2040,"Heart failure averted","Scenario 1",3459667.47346759
2040,"MI averted","Scenario 1",16186710.4141489
2040,"Stroke averted","Scenario 1",23007964.7368781
2041,"Cumulative cases averted","Scenario 1",47915913.121095
2041,"Cumulative deaths averted","Scenario 1",14634354.5818269
2041,"Heart failure averted","Scenario 1",3876701.03994742
2041,"MI averted","Scenario 1",18155751.6954195
2041,"Stroke averted","Scenario 1",25883460.3857281
2042,"Cumulative cases averted","Scenario 1",53450144.2570187
2042,"Cumulative deaths averted","Scenario 1",16287181.5822313
2042,"Heart failure averted","Scenario 1",4312989.2977026
2042,"MI averted","Scenario 1",20216828.9655795
2042,"Stroke averted","Scenario 1",28920325.9937366
2043,"Cumulative cases averted","Scenario 1",59243585.346573
2043,"Cumulative deaths averted","Scenario 1",18006113.6981538
2043,"Heart failure averted","Scenario 1",4765628.93335115
2043,"MI averted","Scenario 1",22361925.9592982
2043,"Stroke averted","Scenario 1",32116030.4539236
2044,"Cumulative cases averted","Scenario 1",65247675.0204902
2044,"Cumulative deaths averted","Scenario 1",19777220.5839922
2044,"Heart failure averted","Scenario 1",5230610.15229865
2044,"MI averted","Scenario 1",24574209.1321823
2044,"Stroke averted","Scenario 1",35442855.7360092
2045,"Cumulative cases averted","Scenario 1",71341183.0101414
2045,"Cumulative deaths averted","Scenario 1",21570042.5798351
2045,"Heart failure averted","Scenario 1",5700965.59409748
2045,"MI averted","Scenario 1",26819265.7360882
2045,"Stroke averted","Scenario 1",38820951.6799557
2046,"Cumulative cases averted","Scenario 1",77436734.6748102
2046,"Cumulative deaths averted","Scenario 1",23362824.4456265
2046,"Heart failure averted","Scenario 1",6171877.55399985
2046,"MI averted","Scenario 1",29071570.9965542
2046,"Stroke averted","Scenario 1",42193286.1242562
2047,"Cumulative cases averted","Scenario 1",83506659.0394174
2047,"Cumulative deaths averted","Scenario 1",25148685.2832402
2047,"Heart failure averted","Scenario 1",6641818.71400516
2047,"MI averted","Scenario 1",31321190.4809738
2047,"Stroke averted","Scenario 1",45543649.8444384
2048,"Cumulative cases averted","Scenario 1",89516172.6116771
2048,"Cumulative deaths averted","Scenario 1",26919143.240529
2048,"Heart failure averted","Scenario 1",7108999.23748329
2048,"MI averted","Scenario 1",33556640.261467
2048,"Stroke averted","Scenario 1",48850533.1127268
2049,"Cumulative cases averted","Scenario 1",95433571.1709636
2049,"Cumulative deaths averted","Scenario 1",28666495.6088249
2049,"Heart failure averted","Scenario 1",7572381.5003236
2049,"MI averted","Scenario 1",35768173.9041539
2049,"Stroke averted","Scenario 1",52093015.7664861
2050,"Cumulative cases averted","Scenario 1",101223285.822254
2050,"Cumulative deaths averted","Scenario 1",30381817.0497122
2050,"Heart failure averted","Scenario 1",8030199.24727965
2050,"MI averted","Scenario 1",37944434.3330352
2050,"Stroke averted","Scenario 1",55248652.2419389
2017,"Cumulative cases averted","Scenario 2",0
2017,"Cumulative deaths averted","Scenario 2",0
2017,"Heart failure averted","Scenario 2",0
2017,"MI averted","Scenario 2",0
2017,"Stroke averted","Scenario 2",0
2018,"Cumulative cases averted","Scenario 2",0
2018,"Cumulative deaths averted","Scenario 2",0
2018,"Heart failure averted","Scenario 2",0
2018,"MI averted","Scenario 2",0
2018,"Stroke averted","Scenario 2",0
2019,"Cumulative cases averted","Scenario 2",0
2019,"Cumulative deaths averted","Scenario 2",0
2019,"Heart failure averted","Scenario 2",0
2019,"MI averted","Scenario 2",0
2019,"Stroke averted","Scenario 2",0
2020,"Cumulative cases averted","Scenario 2",0
2020,"Cumulative deaths averted","Scenario 2",0
2020,"Heart failure averted","Scenario 2",0
2020,"MI averted","Scenario 2",0
2020,"Stroke averted","Scenario 2",0
2021,"Cumulative cases averted","Scenario 2",0
2021,"Cumulative deaths averted","Scenario 2",0
2021,"Heart failure averted","Scenario 2",0
2021,"MI averted","Scenario 2",0
2021,"Stroke averted","Scenario 2",0
2022,"Cumulative cases averted","Scenario 2",0
2022,"Cumulative deaths averted","Scenario 2",0
2022,"Heart failure averted","Scenario 2",0
2022,"MI averted","Scenario 2",0
2022,"Stroke averted","Scenario 2",0
2023,"Cumulative cases averted","Scenario 2",0
2023,"Cumulative deaths averted","Scenario 2",0
2023,"Heart failure averted","Scenario 2",0
2023,"MI averted","Scenario 2",0
2023,"Stroke averted","Scenario 2",0
2024,"Cumulative cases averted","Scenario 2",0
2024,"Cumulative deaths averted","Scenario 2",0
2024,"Heart failure averted","Scenario 2",0
2024,"MI averted","Scenario 2",0
2024,"Stroke averted","Scenario 2",0
2025,"Cumulative cases averted","Scenario 2",4727.78655262291
2025,"Cumulative deaths averted","Scenario 2",656.488433890045
2025,"Heart failure averted","Scenario 2",688.658109879121
2025,"MI averted","Scenario 2",2615.62789899111
2025,"Stroke averted","Scenario 2",1423.50054375455
2026,"Cumulative cases averted","Scenario 2",33640.9343614727
2026,"Cumulative deaths averted","Scenario 2",4720.10471993312
2026,"Heart failure averted","Scenario 2",4853.8264803756
2026,"MI averted","Scenario 2",18465.7465252951
2026,"Stroke averted","Scenario 2",10321.3613558114
2027,"Cumulative cases averted","Scenario 2",87255.1011021584
2027,"Cumulative deaths averted","Scenario 2",12384.9725784436
2027,"Heart failure averted","Scenario 2",12534.8434929457
2027,"MI averted","Scenario 2",47623.6456010677
2027,"Stroke averted","Scenario 2",27096.6120081544
2028,"Cumulative cases averted","Scenario 2",167537.821790501
2028,"Cumulative deaths averted","Scenario 2",24352.5563336499
2028,"Heart failure averted","Scenario 2",24108.6035202388
2028,"MI averted","Scenario 2",90867.933865793
2028,"Stroke averted","Scenario 2",52561.284404479
2029,"Cumulative cases averted","Scenario 2",273845.738629505
2029,"Cumulative deaths averted","Scenario 2",40553.1935928687
2029,"Heart failure averted","Scenario 2",39472.218901136
2029,"MI averted","Scenario 2",147834.225933921
2029,"Stroke averted","Scenario 2",86539.2937944531
2030,"Cumulative cases averted","Scenario 2",406515.511172011
2030,"Cumulative deaths averted","Scenario 2",61232.7977569588
2030,"Heart failure averted","Scenario 2",58700.9769912995
2030,"MI averted","Scenario 2",218592.636546329
2030,"Stroke averted","Scenario 2",129221.897634372
2031,"Cumulative cases averted","Scenario 2",570289.298525512
2031,"Cumulative deaths averted","Scenario 2",87957.5783292055
2031,"Heart failure averted","Scenario 2",82309.2607887574
2031,"MI averted","Scenario 2",304958.830637332
2031,"Stroke averted","Scenario 2",183021.207099415
2032,"Cumulative cases averted","Scenario 2",775174.772495493
2032,"Cumulative deaths averted","Scenario 2",124759.899213139
2032,"Heart failure averted","Scenario 2",111614.95737373
2032,"MI averted","Scenario 2",410838.085326809
2032,"Stroke averted","Scenario 2",252721.729794942
2033,"Cumulative cases averted","Scenario 2",1023278.10997912
2033,"Cumulative deaths averted","Scenario 2",173258.927671243
2033,"Heart failure averted","Scenario 2",147042.887520249
2033,"MI averted","Scenario 2",536941.940287042
2033,"Stroke averted","Scenario 2",339293.282171816
2034,"Cumulative cases averted","Scenario 2",1317150.81434412
2034,"Cumulative deaths averted","Scenario 2",234517.91584979
2034,"Heart failure averted","Scenario 2",188739.568565415
2034,"MI averted","Scenario 2",683979.716101881
2034,"Stroke averted","Scenario 2",444431.529676802
2035,"Cumulative cases averted","Scenario 2",1662315.9126156
2035,"Cumulative deaths averted","Scenario 2",310475.11646631
2035,"Heart failure averted","Scenario 2",237056.300179888
2035,"MI averted","Scenario 2",853880.457868274
2035,"Stroke averted","Scenario 2",571379.154567398
2036,"Cumulative cases averted","Scenario 2",2064526.97487165
2036,"Cumulative deaths averted","Scenario 2",403605.432278819
2036,"Heart failure averted","Scenario 2",292458.81152316
2036,"MI averted","Scenario 2",1048694.65116244
2036,"Stroke averted","Scenario 2",723373.512186006
2037,"Cumulative cases averted","Scenario 2",2544834.56461713
2037,"Cumulative deaths averted","Scenario 2",520297.373325359
2037,"Heart failure averted","Scenario 2",357251.673009654
2037,"MI averted","Scenario 2",1279440.76415404
2037,"Stroke averted","Scenario 2",908142.127453387
2038,"Cumulative cases averted","Scenario 2",3154393.25215836
2038,"Cumulative deaths averted","Scenario 2",682020.670477759
2038,"Heart failure averted","Scenario 2",435067.555063986
2038,"MI averted","Scenario 2",1571050.14258592
2038,"Stroke averted","Scenario 2",1148275.55450841
2039,"Cumulative cases averted","Scenario 2",3926651.84094468
2039,"Cumulative deaths averted","Scenario 2",906095.871991832
2039,"Heart failure averted","Scenario 2",527694.817952885
2039,"MI averted","Scenario 2",1939742.13545932
2039,"Stroke averted","Scenario 2",1459214.88753243
2040,"Cumulative cases averted","Scenario 2",4869728.56909713
2040,"Cumulative deaths averted","Scenario 2",1197579.60255136
2040,"Heart failure averted","Scenario 2",635456.336268839
2040,"MI averted","Scenario 2",2389618.2875028
2040,"Stroke averted","Scenario 2",1844653.94532546
2041,"Cumulative cases averted","Scenario 2",5996365.87389319
2041,"Cumulative deaths averted","Scenario 2",1562555.92203511
2041,"Heart failure averted","Scenario 2",759237.957756049
2041,"MI averted","Scenario 2",2926354.8829508
2041,"Stroke averted","Scenario 2",2310773.0331863
2042,"Cumulative cases averted","Scenario 2",7327220.98661523
2042,"Cumulative deaths averted","Scenario 2",2008994.27479252
2042,"Heart failure averted","Scenario 2",901550.285037628
2042,"MI averted","Scenario 2",3558998.8498937
2042,"Stroke averted","Scenario 2",2866671.85168386
2043,"Cumulative cases averted","Scenario 2",8875034.68473107
2043,"Cumulative deaths averted","Scenario 2",2544894.47483771
2043,"Heart failure averted","Scenario 2",1063898.41636887
2043,"MI averted","Scenario 2",4292020.00377992
2043,"Stroke averted","Scenario 2",3519116.26458224
2044,"Cumulative cases averted","Scenario 2",10686040.452255
2044,"Cumulative deaths averted","Scenario 2",3185853.41770211
2044,"Heart failure averted","Scenario 2",1248479.8567467
2044,"MI averted","Scenario 2",5137031.26782204
2044,"Stroke averted","Scenario 2",4300529.32768628
2045,"Cumulative cases averted","Scenario 2",12891338.6615842
2045,"Cumulative deaths averted","Scenario 2",3964733.80300585
2045,"Heart failure averted","Scenario 2",1462677.68339786
2045,"MI averted","Scenario 2",6131946.98292195
2045,"Stroke averted","Scenario 2",5296713.99526432
2046,"Cumulative cases averted","Scenario 2",15576551.442869
2046,"Cumulative deaths averted","Scenario 2",4903360.30719903
2046,"Heart failure averted","Scenario 2",1711221.186768
2046,"MI averted","Scenario 2",7302399.79961736
2046,"Stroke averted","Scenario 2",6562930.45648359
2047,"Cumulative cases averted","Scenario 2",18764290.677452
2047,"Cumulative deaths averted","Scenario 2",6008449.82645499
2047,"Heart failure averted","Scenario 2",1995471.48288446
2047,"MI averted","Scenario 2",8657044.34276245
2047,"Stroke averted","Scenario 2",8111774.851805
2048,"Cumulative cases averted","Scenario 2",22467462.7893473
2048,"Cumulative deaths averted","Scenario 2",7284979.23376611
2048,"Heart failure averted","Scenario 2",2315755.06980541
2048,"MI averted","Scenario 2",10200155.7390372
2048,"Stroke averted","Scenario 2",9951551.98050462
2049,"Cumulative cases averted","Scenario 2",26694110.033557
2049,"Cumulative deaths averted","Scenario 2",8735944.74992229
2049,"Heart failure averted","Scenario 2",2672256.54472775
2049,"MI averted","Scenario 2",11935682.7590351
2049,"Stroke averted","Scenario 2",12086170.7297942
2050,"Cumulative cases averted","Scenario 2",31444916.297976
