"year","metric","Intervention","value"
2017,"Cumulative cases averted","Scenario 1",0
2017,"Cumulative deaths averted","Scenario 1",0
2017,"Heart failure averted","Scenario 1",0
2017,"MI averted","Scenario 1",0
2017,"Stroke averted","Scenario 1",0
2018,"Cumulative cases averted","Scenario 1",0
2018,"Cumulative deaths averted","Scenario 1",0
2018,"Heart failure averted","Scenario 1",0
2018,"MI averted","Scenario 1",0
2018,"Stroke averted","Scenario 1",0
2019,"Cumulative cases averted","Scenario 1",0
2019,"Cumulative deaths averted","Scenario 1",0
2019,"Heart failure averted","Scenario 1",0
2019,"MI averted","Scenario 1",0
2019,"Stroke averted","Scenario 1",0
2020,"Cumulative cases averted","Scenario 1",0
2020,"Cumulative deaths averted","Scenario 1",0
2020,"Heart failure averted","Scenario 1",0
2020,"MI averted","Scenario 1",0
2020,"Stroke averted","Scenario 1",0
2021,"Cumulative cases averted","Scenario 1",0
2021,"Cumulative deaths averted","Scenario 1",0
2021,"Heart failure averted","Scenario 1",0
2021,"MI averted","Scenario 1",0
2021,"Stroke averted","Scenario 1",0
2022,"Cumulative cases averted","Scenario 1",0
2022,"Cumulative deaths averted","Scenario 1",0
2022,"Heart failure averted","Scenario 1",0
2022,"MI averted","Scenario 1",0
2022,"Stroke averted","Scenario 1",0
2023,"Cumulative cases averted","Scenario 1",37278.3888146803
2023,"Cumulative deaths averted","Scenario 1",13296.186964456
2023,"Heart failure averted","Scenario 1",5096.1561244363
2023,"MI averted","Scenario 1",18391.1072787084
2023,"Stroke averted","Scenario 1",13791.1254115365
2024,"Cumulative cases averted","Scenario 1",117848.350840054
2024,"Cumulative deaths averted","Scenario 1",42301.9480483979
2024,"Heart failure averted","Scenario 1",16014.9800348999
2024,"MI averted","Scenario 1",58199.2440785095
2024,"Stroke averted","Scenario 1",43634.1267266404
2025,"Cumulative cases averted","Scenario 1",246849.922221251
2025,"Cumulative deaths averted","Scenario 1",88987.6201035157
2025,"Heart failure averted","Scenario 1",33383.1435700264
2025,"MI averted","Scenario 1",122032.856353745
2025,"Stroke averted","Scenario 1",91433.9222974759
2026,"Cumulative cases averted","Scenario 1",429588.12547648
2026,"Cumulative deaths averted","Scenario 1",155376.155331843
2026,"Heart failure averted","Scenario 1",57849.1245220806
2026,"MI averted","Scenario 1",212585.01235944
2026,"Stroke averted","Scenario 1",159153.988594947
2027,"Cumulative cases averted","Scenario 1",671787.317622446
2027,"Cumulative deaths averted","Scenario 1",243655.064165428
2027,"Heart failure averted","Scenario 1",90111.778150727
2027,"MI averted","Scenario 1",332761.480108745
2027,"Stroke averted","Scenario 1",248914.059362961
2028,"Cumulative cases averted","Scenario 1",979541.233947724
2028,"Cumulative deaths averted","Scenario 1",356179.617198497
2028,"Heart failure averted","Scenario 1",130906.947084294
2028,"MI averted","Scenario 1",485659.30691069
2028,"Stroke averted","Scenario 1",362974.979952732
2029,"Cumulative cases averted","Scenario 1",1359354.40600342
2029,"Cumulative deaths averted","Scenario 1",495503.639156073
2029,"Heart failure averted","Scenario 1",181011.020006293
2029,"MI averted","Scenario 1",674585.211161628
2029,"Stroke averted","Scenario 1",503758.174835486
2030,"Cumulative cases averted","Scenario 1",1818053.69008673
2030,"Cumulative deaths averted","Scenario 1",664320.022429325
2030,"Heart failure averted","Scenario 1",241229.58783446
2030,"MI averted","Scenario 1",903020.023898501
2030,"Stroke averted","Scenario 1",673804.078353764
2031,"Cumulative cases averted","Scenario 1",2362890.3423037
2031,"Cumulative deaths averted","Scenario 1",865513.289568119
2031,"Heart failure averted","Scenario 1",312410.697410821
2031,"MI averted","Scenario 1",1174664.78230573
2031,"Stroke averted","Scenario 1",875814.862587137
2032,"Cumulative cases averted","Scenario 1",3001368.22394858
2032,"Cumulative deaths averted","Scenario 1",1102074.00275039
2032,"Heart failure averted","Scenario 1",395423.485263947
2032,"MI averted","Scenario 1",1493360.74130914
2032,"Stroke averted","Scenario 1",1112583.99737548
2033,"Cumulative cases averted","Scenario 1",3741043.13713104
2033,"Cumulative deaths averted","Scenario 1",1377026.37460696
2033,"Heart failure averted","Scenario 1",491125.35598849
2033,"MI averted","Scenario 1",1862999.01866248
2033,"Stroke averted","Scenario 1",1386918.76248005
2034,"Cumulative cases averted","Scenario 1",4589318.19045694
2034,"Cumulative deaths averted","Scenario 1",1693373.77125075
2034,"Heart failure averted","Scenario 1",600328.878663432
2034,"MI averted","Scenario 1",2287421.47906544
2034,"Stroke averted","Scenario 1",1701567.83272805
2035,"Cumulative cases averted","Scenario 1",5553737.85786488
2035,"Cumulative deaths averted","Scenario 1",2054128.27519461
2035,"Heart failure averted","Scenario 1",723857.270367803
2035,"MI averted","Scenario 1",2770567.02439292
2035,"Stroke averted","Scenario 1",2059313.56310414
2036,"Cumulative cases averted","Scenario 1",6641840.65711621
2036,"Cumulative deaths averted","Scenario 1",2462279.12270186
2036,"Heart failure averted","Scenario 1",862508.334288348
2036,"MI averted","Scenario 1",3316416.69035335
2036,"Stroke averted","Scenario 1",2462915.6324745
2037,"Cumulative cases averted","Scenario 1",7860534.56429984
2037,"Cumulative deaths averted","Scenario 1",2920674.10405928
2037,"Heart failure averted","Scenario 1",1016948.06040245
2037,"MI averted","Scenario 1",3928683.63364877
2037,"Stroke averted","Scenario 1",2914902.87024863
2038,"Cumulative cases averted","Scenario 1",9200006.27456332
2038,"Cumulative deaths averted","Scenario 1",3428546.52083239
2038,"Heart failure averted","Scenario 1",1184981.97489929
2038,"MI averted","Scenario 1",4602945.56077675
2038,"Stroke averted","Scenario 1",3412078.73888728
2039,"Cumulative cases averted","Scenario 1",10658378.3606979
2039,"Cumulative deaths averted","Scenario 1",3986850.09979235
2039,"Heart failure averted","Scenario 1",1365738.36089
2039,"MI averted","Scenario 1",5338693.65381908
2039,"Stroke averted","Scenario 1",3953946.34598879
2040,"Cumulative cases averted","Scenario 1",12241224.5121313
2040,"Cumulative deaths averted","Scenario 1",4598121.08545648
2040,"Heart failure averted","Scenario 1",1559585.85668623
2040,"MI averted","Scenario 1",6139106.87702141
2040,"Stroke averted","Scenario 1",4542531.77842364
2041,"Cumulative cases averted","Scenario 1",13953585.3124859
2041,"Cumulative deaths averted","Scenario 1",5264773.35046382
2041,"Heart failure averted","Scenario 1",1766812.98774029
2041,"MI averted","Scenario 1",7007089.97030397
2041,"Stroke averted","Scenario 1",5179682.35444164
2042,"Cumulative cases averted","Scenario 1",15787783.6182834
2042,"Cumulative deaths averted","Scenario 1",5986334.04041863
2042,"Heart failure averted","Scenario 1",1985806.64271363
2042,"MI averted","Scenario 1",7938980.21148497
2042,"Stroke averted","Scenario 1",5862996.76408484
2043,"Cumulative cases averted","Scenario 1",17741709.6074583
2043,"Cumulative deaths averted","Scenario 1",6763657.83449399
2043,"Heart failure averted","Scenario 1",2215857.27285686
2043,"MI averted","Scenario 1",8933858.27514256
2043,"Stroke averted","Scenario 1",6591994.05945889
2044,"Cumulative cases averted","Scenario 1",19814733.0616773
2044,"Cumulative deaths averted","Scenario 1",7597903.69956079
2044,"Heart failure averted","Scenario 1",2456519.91664592
2044,"MI averted","Scenario 1",9991512.03913244
2044,"Stroke averted","Scenario 1",7366701.10589893
2045,"Cumulative cases averted","Scenario 1",22010819.925884
2045,"Cumulative deaths averted","Scenario 1",8491097.70317978
2045,"Heart failure averted","Scenario 1",2708188.45790089
2045,"MI averted","Scenario 1",11113925.7664495
2045,"Stroke averted","Scenario 1",8188705.70153362
2046,"Cumulative cases averted","Scenario 1",24325742.5587031
2046,"Cumulative deaths averted","Scenario 1",9440411.94101967
2046,"Heart failure averted","Scenario 1",2970212.8377107
2046,"MI averted","Scenario 1",12299563.1452712
2046,"Stroke averted","Scenario 1",9055966.57572119
2047,"Cumulative cases averted","Scenario 1",26754631.0949228
2047,"Cumulative deaths averted","Scenario 1",10443335.4550149
2047,"Heart failure averted","Scenario 1",3242080.10076682
2047,"MI averted","Scenario 1",13546040.817295
2047,"Stroke averted","Scenario 1",9966510.17686101
2048,"Cumulative cases averted","Scenario 1",29285360.5147486
2048,"Cumulative deaths averted","Scenario 1",11492672.5702563
2048,"Heart failure averted","Scenario 1",3522020.86910236
2048,"MI averted","Scenario 1",14848501.8996217
2048,"Stroke averted","Scenario 1",10914837.7460245
2049,"Cumulative cases averted","Scenario 1",31903821.9954102
2049,"Cumulative deaths averted","Scenario 1",12580301.2016181
2049,"Heart failure averted","Scenario 1",3807991.185418
2049,"MI averted","Scenario 1",16201188.5734224
2049,"Stroke averted","Scenario 1",11894642.2365698
2050,"Cumulative cases averted","Scenario 1",34572391.97295
2050,"Cumulative deaths averted","Scenario 1",13683051.8051512
2050,"Heart failure averted","Scenario 1",4094903.55623166
2050,"MI averted","Scenario 1",17588683.2748481
2050,"Stroke averted","Scenario 1",12888805.1418703
2017,"Cumulative cases averted","Scenario 2",0
2017,"Cumulative deaths averted","Scenario 2",0
2017,"Heart failure averted","Scenario 2",0
2017,"MI averted","Scenario 2",0
2017,"Stroke averted","Scenario 2",0
2018,"Cumulative cases averted","Scenario 2",0
2018,"Cumulative deaths averted","Scenario 2",0
2018,"Heart failure averted","Scenario 2",0
2018,"MI averted","Scenario 2",0
2018,"Stroke averted","Scenario 2",0
2019,"Cumulative cases averted","Scenario 2",0
2019,"Cumulative deaths averted","Scenario 2",0
2019,"Heart failure averted","Scenario 2",0
2019,"MI averted","Scenario 2",0
2019,"Stroke averted","Scenario 2",0
2020,"Cumulative cases averted","Scenario 2",0
2020,"Cumulative deaths averted","Scenario 2",0
2020,"Heart failure averted","Scenario 2",0
2020,"MI averted","Scenario 2",0
2020,"Stroke averted","Scenario 2",0
2021,"Cumulative cases averted","Scenario 2",0
2021,"Cumulative deaths averted","Scenario 2",0
2021,"Heart failure averted","Scenario 2",0
2021,"MI averted","Scenario 2",0
2021,"Stroke averted","Scenario 2",0
2022,"Cumulative cases averted","Scenario 2",0
2022,"Cumulative deaths averted","Scenario 2",0
2022,"Heart failure averted","Scenario 2",0
2022,"MI averted","Scenario 2",0
2022,"Stroke averted","Scenario 2",0
2023,"Cumulative cases averted","Scenario 2",54951.90228834
2023,"Cumulative deaths averted","Scenario 2",22084.3939312436
2023,"Heart failure averted","Scenario 2",6013.43174176384
2023,"MI averted","Scenario 2",28614.8489860259
2023,"Stroke averted","Scenario 2",20323.6215605456
2024,"Cumulative cases averted","Scenario 2",174796.120728478
2024,"Cumulative deaths averted","Scenario 2",70817.4280857444
2024,"Heart failure averted","Scenario 2",19006.0211531343
2024,"MI averted","Scenario 2",91021.7110640444
2024,"Stroke averted","Scenario 2",64768.3885112982
2025,"Cumulative cases averted","Scenario 2",370056.284001537
2025,"Cumulative deaths averted","Scenario 2",150541.646423634
2025,"Heart failure averted","Scenario 2",40099.9524440616
2025,"MI averted","Scenario 2",192708.685397215
2025,"Stroke averted","Scenario 2",137247.646160254
2026,"Cumulative cases averted","Scenario 2",651969.057725616
2026,"Cumulative deaths averted","Scenario 2",265851.314209264
2026,"Heart failure averted","Scenario 2",70499.5245113345
2026,"MI averted","Scenario 2",339540.363778003
2026,"Stroke averted","Scenario 2",241929.169436274
2027,"Cumulative cases averted","Scenario 2",1032908.23300387
2027,"Cumulative deaths averted","Scenario 2",421794.041192956
2027,"Heart failure averted","Scenario 2",111532.336878949
2027,"MI averted","Scenario 2",537976.441778265
2027,"Stroke averted","Scenario 2",383399.454346647
2028,"Cumulative cases averted","Scenario 2",1526493.51784138
2028,"Cumulative deaths averted","Scenario 2",623929.950453464
2028,"Heart failure averted","Scenario 2",164657.16214266
2028,"MI averted","Scenario 2",795129.514354758
2028,"Stroke averted","Scenario 2",566706.841343952
2029,"Cumulative cases averted","Scenario 2",2147559.29838305
2029,"Cumulative deaths averted","Scenario 2",878373.445022494
2029,"Heart failure averted","Scenario 2",231450.252539434
2029,"MI averted","Scenario 2",1118746.76901384
2029,"Stroke averted","Scenario 2",797362.276829762
2030,"Cumulative cases averted","Scenario 2",2910869.63307557
2030,"Cumulative deaths averted","Scenario 2",1191446.95985376
2030,"Heart failure averted","Scenario 2",313391.827143083
2030,"MI averted","Scenario 2",1516597.67839964
2030,"Stroke averted","Scenario 2",1080880.12753284
2031,"Cumulative cases averted","Scenario 2",3831977.05531023
2031,"Cumulative deaths averted","Scenario 2",1569937.48363289
2031,"Heart failure averted","Scenario 2",411999.854827848
2031,"MI averted","Scenario 2",1996888.74296051
2031,"Stroke averted","Scenario 2",1423088.45752187
2032,"Cumulative cases averted","Scenario 2",4928925.66837802
2032,"Cumulative deaths averted","Scenario 2",2021361.14823952
2032,"Heart failure averted","Scenario 2",529138.610563034
2032,"MI averted","Scenario 2",2569099.67970535
2032,"Stroke averted","Scenario 2",1830687.37810963
2033,"Cumulative cases averted","Scenario 2",6220811.19482383
2033,"Cumulative deaths averted","Scenario 2",2553639.4108472
2033,"Heart failure averted","Scenario 2",666768.288226548
2033,"MI averted","Scenario 2",3243293.3033624
2033,"Stroke averted","Scenario 2",2310749.60323487
2034,"Cumulative cases averted","Scenario 2",7727373.62813452
2034,"Cumulative deaths averted","Scenario 2",3174954.08833045
2034,"Heart failure averted","Scenario 2",826885.322617203
2034,"MI averted","Scenario 2",4029920.6545967
2034,"Stroke averted","Scenario 2",2870567.6509206
2035,"Cumulative cases averted","Scenario 2",9468910.66932365
2035,"Cumulative deaths averted","Scenario 2",3893681.38586738
2035,"Heart failure averted","Scenario 2",1011525.88021905
2035,"MI averted","Scenario 2",4939766.12217262
2035,"Stroke averted","Scenario 2",3517618.66693197
2036,"Cumulative cases averted","Scenario 2",11465544.6600717
2036,"Cumulative deaths averted","Scenario 2",4718255.31309099
2036,"Heart failure averted","Scenario 2",1222590.35497938
2036,"MI averted","Scenario 2",5983661.34606073
2036,"Stroke averted","Scenario 2",4259292.95903154
2037,"Cumulative cases averted","Scenario 2",13738242.3267183
2037,"Cumulative deaths averted","Scenario 2",5657414.65384746
2037,"Heart failure averted","Scenario 2",1462013.87215069
2037,"MI averted","Scenario 2",7172978.68322663
2037,"Stroke averted","Scenario 2",5103249.77134098
2038,"Cumulative cases averted","Scenario 2",16305777.9382383
2038,"Cumulative deaths averted","Scenario 2",6719562.28837483
2038,"Heart failure averted","Scenario 2",1731258.6323268
2038,"MI averted","Scenario 2",8518130.05791831
2038,"Stroke averted","Scenario 2",6056389.24799318
2039,"Cumulative cases averted","Scenario 2",19187483.157794
2039,"Cumulative deaths averted","Scenario 2",7913397.13020247
2039,"Heart failure averted","Scenario 2",2031771.72453063
2039,"MI averted","Scenario 2",10029911.9847183
2039,"Stroke averted","Scenario 2",7125799.44854509
2040,"Cumulative cases averted","Scenario 2",22403621.0644543
2040,"Cumulative deaths averted","Scenario 2",9248156.78783255
2040,"Heart failure averted","Scenario 2",2365038.97307869
2040,"MI averted","Scenario 2",11719649.6709876
2040,"Stroke averted","Scenario 2",8318932.42038799
2041,"Cumulative cases averted","Scenario 2",25977382.6143652
2041,"Cumulative deaths averted","Scenario 2",10734034.9005854
2041,"Heart failure averted","Scenario 2",2732971.6147764
2041,"MI averted","Scenario 2",13600102.9517038
2041,"Stroke averted","Scenario 2",9644308.04788496
2042,"Cumulative cases averted","Scenario 2",29934336.4266983
2042,"Cumulative deaths averted","Scenario 2",12382115.4361666
2042,"Heart failure averted","Scenario 2",3137861.88979238
2042,"MI averted","Scenario 2",15685103.741624
2042,"Stroke averted","Scenario 2",11111370.7952818
2043,"Cumulative cases averted","Scenario 2",34298640.4978424
2043,"Cumulative deaths averted","Scenario 2",14203929.2567583
2043,"Heart failure averted","Scenario 2",3581579.43785172
2043,"MI averted","Scenario 2",17987830.105447
2043,"Stroke averted","Scenario 2",12729230.9545436
2044,"Cumulative cases averted","Scenario 2",39096085.1471252
2044,"Cumulative deaths averted","Scenario 2",16211752.1173639
2044,"Heart failure averted","Scenario 2",4066163.44540614
2044,"MI averted","Scenario 2",20522294.7511757
2044,"Stroke averted","Scenario 2",14507626.9505433
2045,"Cumulative cases averted","Scenario 2",44355753.3377238
2045,"Cumulative deaths averted","Scenario 2",18418745.7887459
2045,"Heart failure averted","Scenario 2",4594165.77545517
2045,"MI averted","Scenario 2",23304133.1910885
2045,"Stroke averted","Scenario 2",16457454.3711801
2046,"Cumulative cases averted","Scenario 2",50100683.7303493
2046,"Cumulative deaths averted","Scenario 2",20834422.2562901
2046,"Heart failure averted","Scenario 2",5167445.28093847
2046,"MI averted","Scenario 2",26346287.0058613
2046,"Stroke averted","Scenario 2",18586951.4435495
2047,"Cumulative cases averted","Scenario 2",56343937.758625
2047,"Cumulative deaths averted","Scenario 2",23464858.7696227
2047,"Heart failure averted","Scenario 2",5787217.05862447
2047,"MI averted","Scenario 2",29655615.9788375
2047,"Stroke averted","Scenario 2",20901104.721163
2048,"Cumulative cases averted","Scenario 2",63100178.8076554
2048,"Cumulative deaths averted","Scenario 2",26314663.5219584
2048,"Heart failure averted","Scenario 2",6454034.138058
2048,"MI averted","Scenario 2",33241814.6741184
2048,"Stroke averted","Scenario 2",23404329.995479
2049,"Cumulative cases averted","Scenario 2",70378341.906355
2049,"Cumulative deaths averted","Scenario 2",29384748.9244946
2049,"Heart failure averted","Scenario 2",7167634.47330313
2049,"MI averted","Scenario 2",37112348.838207
