"year","metric","Intervention","value"
2017,"Cumulative cases averted","Scenario 1",0
2017,"Cumulative deaths averted","Scenario 1",0
2017,"Heart failure averted","Scenario 1",0
2017,"MI averted","Scenario 1",0
2017,"Stroke averted","Scenario 1",0
2018,"Cumulative cases averted","Scenario 1",0
2018,"Cumulative deaths averted","Scenario 1",0
2018,"Heart failure averted","Scenario 1",0
2018,"MI averted","Scenario 1",0
2018,"Stroke averted","Scenario 1",0
2019,"Cumulative cases averted","Scenario 1",0
2019,"Cumulative deaths averted","Scenario 1",0
2019,"Heart failure averted","Scenario 1",0
2019,"MI averted","Scenario 1",0
2019,"Stroke averted","Scenario 1",0
2020,"Cumulative cases averted","Scenario 1",0
2020,"Cumulative deaths averted","Scenario 1",0
2020,"Heart failure averted","Scenario 1",0
2020,"MI averted","Scenario 1",0
2020,"Stroke averted","Scenario 1",0
2021,"Cumulative cases averted","Scenario 1",0
2021,"Cumulative deaths averted","Scenario 1",0
2021,"Heart failure averted","Scenario 1",0
2021,"MI averted","Scenario 1",0
2021,"Stroke averted","Scenario 1",0
2022,"Cumulative cases averted","Scenario 1",0
2022,"Cumulative deaths averted","Scenario 1",0
2022,"Heart failure averted","Scenario 1",0
2022,"MI averted","Scenario 1",0
2022,"Stroke averted","Scenario 1",0
2023,"Cumulative cases averted","Scenario 1",26486.4252340049
2023,"Cumulative deaths averted","Scenario 1",9297.43759101257
2023,"Heart failure averted","Scenario 1",3689.05565290805
2023,"MI averted","Scenario 1",13010.5436434411
2023,"Stroke averted","Scenario 1",9786.82593765669
2024,"Cumulative cases averted","Scenario 1",84595.8765996695
2024,"Cumulative deaths averted","Scenario 1",29991.0683910884
2024,"Heart failure averted","Scenario 1",11676.2599513736
2024,"MI averted","Scenario 1",41621.9996485747
2024,"Stroke averted","Scenario 1",31297.6169997156
2025,"Cumulative cases averted","Scenario 1",178735.367235258
2025,"Cumulative deaths averted","Scenario 1",63810.3198715411
2025,"Heart failure averted","Scenario 1",24487.896296287
2025,"MI averted","Scenario 1",88074.6551079899
2025,"Stroke averted","Scenario 1",66172.8158309646
2026,"Cumulative cases averted","Scenario 1",313398.494161099
2026,"Cumulative deaths averted","Scenario 1",112506.580483042
2026,"Heart failure averted","Scenario 1",42662.7653318234
2026,"MI averted","Scenario 1",154653.41139587
2026,"Stroke averted","Scenario 1",116082.317433383
2027,"Cumulative cases averted","Scenario 1",493384.504878744
2027,"Cumulative deaths averted","Scenario 1",177950.29612799
2027,"Heart failure averted","Scenario 1",66776.6839550044
2027,"MI averted","Scenario 1",243798.039395165
2027,"Stroke averted","Scenario 1",182809.781528555
2028,"Cumulative cases averted","Scenario 1",723776.458514892
2028,"Cumulative deaths averted","Scenario 1",262141.50126965
2028,"Heart failure averted","Scenario 1",97433.7702581892
2028,"MI averted","Scenario 1",358095.234008711
2028,"Stroke averted","Scenario 1",268247.45424797
2029,"Cumulative cases averted","Scenario 1",1009977.05353387
2029,"Cumulative deaths averted","Scenario 1",367236.593594845
2029,"Heart failure averted","Scenario 1",135269.101806501
2029,"MI averted","Scenario 1",500295.13061611
2029,"Stroke averted","Scenario 1",374412.821111247
2030,"Cumulative cases averted","Scenario 1",1357665.31876368
2030,"Cumulative deaths averted","Scenario 1",495510.737124659
2030,"Heart failure averted","Scenario 1",180943.615628102
2030,"MI averted","Scenario 1",673296.003314354
2030,"Stroke averted","Scenario 1",503425.699821208
2031,"Cumulative cases averted","Scenario 1",1772850.43180818
2031,"Cumulative deaths averted","Scenario 1",649388.247142833
2031,"Heart failure averted","Scenario 1",235150.6399016
2031,"MI averted","Scenario 1",880168.390789669
2031,"Stroke averted","Scenario 1",657531.401116893
2032,"Cumulative cases averted","Scenario 1",2261741.15710454
2032,"Cumulative deaths averted","Scenario 1",831385.149461742
2032,"Heart failure averted","Scenario 1",298597.984829613
2032,"MI averted","Scenario 1",1124094.38089486
2032,"Stroke averted","Scenario 1",839048.791380048
2033,"Cumulative cases averted","Scenario 1",2830584.77100425
2033,"Cumulative deaths averted","Scenario 1",1044046.85798818
2033,"Heart failure averted","Scenario 1",371982.6114444
2033,"MI averted","Scenario 1",1408294.90220866
2033,"Stroke averted","Scenario 1",1050307.25735117
2034,"Cumulative cases averted","Scenario 1",3485501.26671022
2034,"Cumulative deaths averted","Scenario 1",1289904.77338549
2034,"Heart failure averted","Scenario 1",455962.850694614
2034,"MI averted","Scenario 1",1735950.66248453
2034,"Stroke averted","Scenario 1",1293587.75353106
2035,"Cumulative cases averted","Scenario 1",4232757.71004011
2035,"Cumulative deaths averted","Scenario 1",1571510.92656426
2035,"Heart failure averted","Scenario 1",551207.251676736
2035,"MI averted","Scenario 1",2110340.82872609
2035,"Stroke averted","Scenario 1",1571209.62963727
2036,"Cumulative cases averted","Scenario 1",5078615.9836902
2036,"Cumulative deaths averted","Scenario 1",1891393.65628308
2036,"Heart failure averted","Scenario 1",658366.422086631
2036,"MI averted","Scenario 1",2534776.01317205
2036,"Stroke averted","Scenario 1",1885473.54843152
2037,"Cumulative cases averted","Scenario 1",6028774.85526109
2037,"Cumulative deaths averted","Scenario 1",2251948.80407777
2037,"Heart failure averted","Scenario 1",777976.519505163
2037,"MI averted","Scenario 1",3012324.5658535
2037,"Stroke averted","Scenario 1",2238473.76990243
2038,"Cumulative cases averted","Scenario 1",7074798.78104641
2038,"Cumulative deaths averted","Scenario 1",2652506.97547999
2038,"Heart failure averted","Scenario 1",908157.229846327
2038,"MI averted","Scenario 1",3539179.08216042
2038,"Stroke averted","Scenario 1",2627462.46903966
2039,"Cumulative cases averted","Scenario 1",8215101.78436157
2039,"Cumulative deaths averted","Scenario 1",3093875.47000298
2039,"Heart failure averted","Scenario 1",1048171.29731597
2039,"MI averted","Scenario 1",4114910.53445065
2039,"Stroke averted","Scenario 1",3052019.95259497
2040,"Cumulative cases averted","Scenario 1",9454278.93137327
2040,"Cumulative deaths averted","Scenario 1",3578162.64877061
2040,"Heart failure averted","Scenario 1",1198310.34071978
2040,"MI averted","Scenario 1",4742153.04754801
2040,"Stroke averted","Scenario 1",3513815.54310548
2041,"Cumulative cases averted","Scenario 1",10796449.8061711
2041,"Cumulative deaths averted","Scenario 1",4107408.88604442
2041,"Heart failure averted","Scenario 1",1358788.22195807
2041,"MI averted","Scenario 1",5423292.31624658
2041,"Stroke averted","Scenario 1",4014369.26796647
2042,"Cumulative cases averted","Scenario 1",12234653.8568594
2042,"Cumulative deaths averted","Scenario 1",4681060.83192343
2042,"Heart failure averted","Scenario 1",1528200.87454689
2042,"MI averted","Scenario 1",6154957.97477416
2042,"Stroke averted","Scenario 1",4551495.00753841
2043,"Cumulative cases averted","Scenario 1",13766735.9642537
2043,"Cumulative deaths averted","Scenario 1",5299730.84807589
2043,"Heart failure averted","Scenario 1",1705928.4790595
2043,"MI averted","Scenario 1",6936134.30642347
2043,"Stroke averted","Scenario 1",5124673.1787707
2044,"Cumulative cases averted","Scenario 1",15391722.0658197
2044,"Cumulative deaths averted","Scenario 1",5964276.09135324
2044,"Heart failure averted","Scenario 1",1891568.85405299
2044,"MI averted","Scenario 1",7766359.47174598
2044,"Stroke averted","Scenario 1",5733793.7400207
2045,"Cumulative cases averted","Scenario 1",17112440.0387531
2045,"Cumulative deaths averted","Scenario 1",6676244.8688483
2045,"Heart failure averted","Scenario 1",2085418.75570583
2045,"MI averted","Scenario 1",8646989.29344891
2045,"Stroke averted","Scenario 1",6380031.98959832
2046,"Cumulative cases averted","Scenario 1",18924244.739052
2046,"Cumulative deaths averted","Scenario 1",7432699.44680401
2046,"Heart failure averted","Scenario 1",2286811.14343844
2046,"MI averted","Scenario 1",9576206.26765746
2046,"Stroke averted","Scenario 1",7061227.32795606
2047,"Cumulative cases averted","Scenario 1",20822892.512555
2047,"Cumulative deaths averted","Scenario 1",8231353.22809808
2047,"Heart failure averted","Scenario 1",2495247.18785197
2047,"MI averted","Scenario 1",10552046.6585386
2047,"Stroke averted","Scenario 1",7775598.66616437
2048,"Cumulative cases averted","Scenario 1",22797274.5993748
2048,"Cumulative deaths averted","Scenario 1",9065689.90589099
2048,"Heart failure averted","Scenario 1",2709159.02518312
2048,"MI averted","Scenario 1",11569952.7477318
2048,"Stroke averted","Scenario 1",8518162.8264599
2049,"Cumulative cases averted","Scenario 1",24834851.0335763
2049,"Cumulative deaths averted","Scenario 1",9928603.51483118
2049,"Heart failure averted","Scenario 1",2926790.57157366
2049,"MI averted","Scenario 1",12624675.4303828
2049,"Stroke averted","Scenario 1",9283385.03161985
2050,"Cumulative cases averted","Scenario 1",26904527.3217752
2050,"Cumulative deaths averted","Scenario 1",10801090.1148759
2050,"Heart failure averted","Scenario 1",3143985.1881792
2050,"MI averted","Scenario 1",13703350.1361819
2050,"Stroke averted","Scenario 1",10057191.9974141
2017,"Cumulative cases averted","Scenario 2",0
2017,"Cumulative deaths averted","Scenario 2",0
2017,"Heart failure averted","Scenario 2",0
2017,"MI averted","Scenario 2",0
2017,"Stroke averted","Scenario 2",0
2018,"Cumulative cases averted","Scenario 2",0
2018,"Cumulative deaths averted","Scenario 2",0
2018,"Heart failure averted","Scenario 2",0
2018,"MI averted","Scenario 2",0
2018,"Stroke averted","Scenario 2",0
2019,"Cumulative cases averted","Scenario 2",0
2019,"Cumulative deaths averted","Scenario 2",0
2019,"Heart failure averted","Scenario 2",0
2019,"MI averted","Scenario 2",0
2019,"Stroke averted","Scenario 2",0
2020,"Cumulative cases averted","Scenario 2",0
2020,"Cumulative deaths averted","Scenario 2",0
2020,"Heart failure averted","Scenario 2",0
2020,"MI averted","Scenario 2",0
2020,"Stroke averted","Scenario 2",0
2021,"Cumulative cases averted","Scenario 2",0
2021,"Cumulative deaths averted","Scenario 2",0
2021,"Heart failure averted","Scenario 2",0
2021,"MI averted","Scenario 2",0
2021,"Stroke averted","Scenario 2",0
2022,"Cumulative cases averted","Scenario 2",0
2022,"Cumulative deaths averted","Scenario 2",0
2022,"Heart failure averted","Scenario 2",0
2022,"MI averted","Scenario 2",0
2022,"Stroke averted","Scenario 2",0
2023,"Cumulative cases averted","Scenario 2",47560.3601141274
2023,"Cumulative deaths averted","Scenario 2",19114.313535247
2023,"Heart failure averted","Scenario 2",5204.52279058658
2023,"MI averted","Scenario 2",24765.7999103963
2023,"Stroke averted","Scenario 2",17590.0374131426
2024,"Cumulative cases averted","Scenario 2",150914.499920927
2024,"Cumulative deaths averted","Scenario 2",61170.9269332215
2024,"Heart failure averted","Scenario 2",16402.5462788418
2024,"MI averted","Scenario 2",78586.7272141129
2024,"Stroke averted","Scenario 2",55925.2264279705
2025,"Cumulative cases averted","Scenario 2",318748.077512331
2025,"Cumulative deaths averted","Scenario 2",129777.401240189
2025,"Heart failure averted","Scenario 2",34512.9750351673
2025,"MI averted","Scenario 2",165995.924377065
2025,"Stroke averted","Scenario 2",118239.1781001
2026,"Cumulative cases averted","Scenario 2",560352.169935368
2026,"Cumulative deaths averted","Scenario 2",228752.499852363
2026,"Heart failure averted","Scenario 2",60524.816024255
2026,"MI averted","Scenario 2",291846.448016502
2026,"Stroke averted","Scenario 2",207980.905894609
2027,"Cumulative cases averted","Scenario 2",885987.78405039
2027,"Cumulative deaths averted","Scenario 2",362300.381046709
2027,"Heart failure averted","Scenario 2",95532.5157238608
2027,"MI averted","Scenario 2",461498.970006295
2027,"Stroke averted","Scenario 2",328956.298320225
2028,"Cumulative cases averted","Scenario 2",1306970.97769055
2028,"Cumulative deaths averted","Scenario 2",535058.998537648
2028,"Heart failure averted","Scenario 2",140741.522646753
2028,"MI averted","Scenario 2",680867.227988265
2028,"Stroke averted","Scenario 2",485362.227055522
2029,"Cumulative cases averted","Scenario 2",1835640.89122271
2029,"Cumulative deaths averted","Scenario 2",752133.591784935
2029,"Heart failure averted","Scenario 2",197455.905715248
2029,"MI averted","Scenario 2",956399.822209302
2029,"Stroke averted","Scenario 2",681785.163298151
2030,"Cumulative cases averted","Scenario 2",2484243.8978903
2030,"Cumulative deaths averted","Scenario 2",1018795.87507758
2030,"Heart failure averted","Scenario 2",266893.171807759
2030,"MI averted","Scenario 2",1294548.21082843
2030,"Stroke averted","Scenario 2",922802.515254101
2031,"Cumulative cases averted","Scenario 2",3265682.07759358
2031,"Cumulative deaths averted","Scenario 2",1340708.64732238
2031,"Heart failure averted","Scenario 2",350300.721455421
2031,"MI averted","Scenario 2",1702128.04384964
2031,"Stroke averted","Scenario 2",1213253.31228851
2032,"Cumulative cases averted","Scenario 2",4194982.59499275
2032,"Cumulative deaths averted","Scenario 2",1724152.55361673
2032,"Heart failure averted","Scenario 2",449222.477498803
2032,"MI averted","Scenario 2",2187040.45842706
2032,"Stroke averted","Scenario 2",1558719.65906688
2033,"Cumulative cases averted","Scenario 2",5288038.54178693
2033,"Cumulative deaths averted","Scenario 2",2175738.14273169
2033,"Heart failure averted","Scenario 2",565280.586038916
2033,"MI averted","Scenario 2",2757669.18138562
2033,"Stroke averted","Scenario 2",1965088.77436239
2034,"Cumulative cases averted","Scenario 2",6561287.89450213
2034,"Cumulative deaths averted","Scenario 2",2702297.12743079
2034,"Heart failure averted","Scenario 2",700128.199258858
2034,"MI averted","Scenario 2",3422725.4040789
2034,"Stroke averted","Scenario 2",2438434.29116436
2035,"Cumulative cases averted","Scenario 2",8031601.82433198
2035,"Cumulative deaths averted","Scenario 2",3310807.98563316
2035,"Heart failure averted","Scenario 2",855447.684991226
2035,"MI averted","Scenario 2",4191183.19871612
2035,"Stroke averted","Scenario 2",2984970.94062462
2036,"Cumulative cases averted","Scenario 2",9715676.06121053
2036,"Cumulative deaths averted","Scenario 2",4008289.53871185
2036,"Heart failure averted","Scenario 2",1032802.23669869
2036,"MI averted","Scenario 2",5072043.82751146
2036,"Stroke averted","Scenario 2",3610829.99700037
2037,"Cumulative cases averted","Scenario 2",11630930.2460814
2037,"Cumulative deaths averted","Scenario 2",4802019.59844537
2037,"Heart failure averted","Scenario 2",1233786.87012451
2037,"MI averted","Scenario 2",6074769.70599632
2037,"Stroke averted","Scenario 2",4322373.6699605
2038,"Cumulative cases averted","Scenario 2",13792961.6999609
2038,"Cumulative deaths averted","Scenario 2",5698998.40172459
2038,"Heart failure averted","Scenario 2",1459603.61385175
2038,"MI averted","Scenario 2",7208024.2728166
2038,"Stroke averted","Scenario 2",5125333.81329259
2039,"Cumulative cases averted","Scenario 2",16217790.393982
2039,"Cumulative deaths averted","Scenario 2",6706462.71217023
2039,"Heart failure averted","Scenario 2",1711434.88160763
2039,"MI averted","Scenario 2",8480771.2595717
2039,"Stroke averted","Scenario 2",6025584.25280267
2040,"Cumulative cases averted","Scenario 2",18922178.7700835
2040,"Cumulative deaths averted","Scenario 2",7832093.14782539
2040,"Heart failure averted","Scenario 2",1990490.35540226
2040,"MI averted","Scenario 2",9902396.66296902
2040,"Stroke averted","Scenario 2",7029291.75171222
2041,"Cumulative cases averted","Scenario 2",21925315.8118597
2041,"Cumulative deaths averted","Scenario 2",9084349.58187407
2041,"Heart failure averted","Scenario 2",2298335.34762408
2041,"MI averted","Scenario 2",11483475.0376088
2041,"Stroke averted","Scenario 2",8143505.42662685
2042,"Cumulative cases averted","Scenario 2",25248352.5555696
2042,"Cumulative deaths averted","Scenario 2",10472420.1822072
2042,"Heart failure averted","Scenario 2",2636850.60222934
2042,"MI averted","Scenario 2",13235466.1485195
2042,"Stroke averted","Scenario 2",9376035.80482082
2043,"Cumulative cases averted","Scenario 2",28911311.3172292
2043,"Cumulative deaths averted","Scenario 2",12005864.8359156
2043,"Heart failure averted","Scenario 2",3007571.19298241
2043,"MI averted","Scenario 2",15169313.579653
2043,"Stroke averted","Scenario 2",10734426.5445938
2044,"Cumulative cases averted","Scenario 2",32935421.4850103
2044,"Cumulative deaths averted","Scenario 2",13694809.250435
2044,"Heart failure averted","Scenario 2",3412149.37852581
2044,"MI averted","Scenario 2",17296585.8754632
2044,"Stroke averted","Scenario 2",12226686.2310212
2045,"Cumulative cases averted","Scenario 2",37344589.5304836
2045,"Cumulative deaths averted","Scenario 2",15550086.5271545
2045,"Heart failure averted","Scenario 2",3852658.26337901
2045,"MI averted","Scenario 2",19630169.0673531
2045,"Stroke averted","Scenario 2",13861762.1997515
2046,"Cumulative cases averted","Scenario 2",42157185.0269502
2046,"Cumulative deaths averted","Scenario 2",17579299.3160081
2046,"Heart failure averted","Scenario 2",4330525.34887582
2046,"MI averted","Scenario 2",22180460.7086925
2046,"Stroke averted","Scenario 2",15646198.9693819
2047,"Cumulative cases averted","Scenario 2",47382511.0477842
2047,"Cumulative deaths averted","Scenario 2",19786983.6665663
2047,"Heart failure averted","Scenario 2",4846563.34803118
2047,"MI averted","Scenario 2",24952359.8861103
2047,"Stroke averted","Scenario 2",17583587.8136428
2048,"Cumulative cases averted","Scenario 2",53031779.3954708
2048,"Cumulative deaths averted","Scenario 2",22176632.0827072
2048,"Heart failure averted","Scenario 2",5401081.10585923
2048,"MI averted","Scenario 2",27953466.5141414
2048,"Stroke averted","Scenario 2",19677231.7754701
2049,"Cumulative cases averted","Scenario 2",59111247.2899415
2049,"Cumulative deaths averted","Scenario 2",24748510.1339512
2049,"Heart failure averted","Scenario 2",5993686.18665356
2049,"MI averted","Scenario 2",31189457.0755199
