"","year","intervention","x50q30"
"1",2017,"Alt Scenario 1",0.198037365749533
"2",2017,"Business as usual",0.198037365749533
"3",2017,"Scenario 4",0.198037365749533
"4",2017,"Scenario 5",0.198037365749533
"5",2018,"Alt Scenario 1",0.185031500079202
"6",2018,"Business as usual",0.185031500079202
"7",2018,"Scenario 4",0.185031500079202
"8",2018,"Scenario 5",0.185031500079202
"9",2019,"Alt Scenario 1",0.184823563034775
"10",2019,"Business as usual",0.184823563034775
"11",2019,"Scenario 4",0.184823563034775
"12",2019,"Scenario 5",0.184823563034775
"13",2020,"Alt Scenario 1",0.184672339533825
"14",2020,"Business as usual",0.184672339533825
"15",2020,"Scenario 4",0.184672339533825
"16",2020,"Scenario 5",0.184672339533825
"17",2021,"Alt Scenario 1",0.184595948265283
"18",2021,"Business as usual",0.184595948265283
"19",2021,"Scenario 4",0.184595948265283
"20",2021,"Scenario 5",0.184595948265283
"21",2022,"Alt Scenario 1",0.184224694191361
"22",2022,"Business as usual",0.184224694191361
"23",2022,"Scenario 4",0.184224694191361
"24",2022,"Scenario 5",0.184224694191361
"25",2023,"Alt Scenario 1",0.183646898569651
"26",2023,"Business as usual",0.184068554348842
"27",2023,"Scenario 4",0.183130832115637
"28",2023,"Scenario 5",0.182095420803882
"29",2024,"Alt Scenario 1",0.183196827738799
"30",2024,"Business as usual",0.184108113682875
"31",2024,"Scenario 4",0.182085127602169
"32",2024,"Scenario 5",0.179854140578873
"33",2025,"Alt Scenario 1",0.183045944027045
"34",2025,"Business as usual",0.18449105570495
"35",2025,"Scenario 4",0.181284466974832
"36",2025,"Scenario 5",0.177749950130904
"37",2026,"Alt Scenario 1",0.182539742137935
"38",2026,"Business as usual",0.184552608170839
"39",2026,"Scenario 4",0.180091661469338
"40",2026,"Scenario 5",0.175181818247669
"41",2027,"Alt Scenario 1",0.18223929341322
"42",2027,"Business as usual",0.184854614827857
"43",2027,"Scenario 4",0.179067768937343
"44",2027,"Scenario 5",0.172711889905707
"45",2028,"Alt Scenario 1",0.182081592514727
"46",2028,"Business as usual",0.185335016023862
"47",2028,"Scenario 4",0.178152537232302
"48",2028,"Scenario 5",0.170286360880793
"49",2029,"Alt Scenario 1",0.181527238945204
"50",2029,"Business as usual",0.185432595038223
"51",2029,"Scenario 4",0.176824058277235
"52",2029,"Scenario 5",0.167419265407974
"53",2030,"Alt Scenario 1",0.181241173760568
"54",2030,"Business as usual",0.185825341138478
"55",2030,"Scenario 4",0.175733817024486
"56",2030,"Scenario 5",0.164735726484655
"57",2031,"Alt Scenario 1",0.180522224489947
"58",2031,"Business as usual",0.185792188224269
"59",2031,"Scenario 4",0.174204382329296
"60",2031,"Scenario 5",0.161609080602321
"61",2032,"Alt Scenario 1",0.179916871160804
"62",2032,"Business as usual",0.185879439369549
"63",2032,"Scenario 4",0.172754569463808
"64",2032,"Scenario 5",0.15853084423498
"65",2033,"Alt Scenario 1",0.179271701500255
"66",2033,"Business as usual",0.185925955100702
"67",2033,"Scenario 4",0.171243103699202
"68",2033,"Scenario 5",0.155376373530383
"69",2034,"Alt Scenario 1",0.178520251753277
"70",2034,"Business as usual",0.185871689852519
