"","year","intervention","x50q30"
"1",2017,"Alt Scenario 1",0.198037365749533
"2",2017,"Business as usual",0.198037365749533
"3",2017,"Scenario 4",0.198037365749533
"4",2017,"Scenario 5",0.198037365749533
"5",2018,"Alt Scenario 1",0.185031500079202
"6",2018,"Business as usual",0.185031500079202
"7",2018,"Scenario 4",0.185031500079202
"8",2018,"Scenario 5",0.185031500079202
"9",2019,"Alt Scenario 1",0.184823563034775
"10",2019,"Business as usual",0.184823563034775
"11",2019,"Scenario 4",0.184823563034775
"12",2019,"Scenario 5",0.184823563034775
"13",2020,"Alt Scenario 1",0.184672339533825
"14",2020,"Business as usual",0.184672339533825
"15",2020,"Scenario 4",0.184672339533825
"16",2020,"Scenario 5",0.184672339533825
"17",2021,"Alt Scenario 1",0.184595948265283
"18",2021,"Business as usual",0.184595948265283
"19",2021,"Scenario 4",0.184595948265283
"20",2021,"Scenario 5",0.184595948265283
"21",2022,"Alt Scenario 1",0.184224694191361
"22",2022,"Business as usual",0.184224694191361
"23",2022,"Scenario 4",0.184224694191361
"24",2022,"Scenario 5",0.184224694191361
"25",2023,"Alt Scenario 1",0.183525982056634
"26",2023,"Business as usual",0.184068554348842
"27",2023,"Scenario 4",0.182929468111678
"28",2023,"Scenario 5",0.181732475781543
"29",2024,"Alt Scenario 1",0.182932026392255
"30",2024,"Business as usual",0.184108113682875
"31",2024,"Scenario 4",0.181644150551242
"32",2024,"Scenario 5",0.179059425007217
"33",2025,"Alt Scenario 1",0.182618772563488
"34",2025,"Business as usual",0.18449105570495
"35",2025,"Scenario 4",0.180573479891098
"36",2025,"Scenario 5",0.17647011826171
"37",2026,"Alt Scenario 1",0.181935995068256
"38",2026,"Business as usual",0.184552608170839
"39",2026,"Scenario 4",0.17908769151298
"40",2026,"Scenario 5",0.173378064328895
"41",2027,"Alt Scenario 1",0.181445326706902
"42",2027,"Business as usual",0.184854614827857
"43",2027,"Scenario 4",0.177749016897243
"44",2027,"Scenario 5",0.17034849023681
"45",2028,"Alt Scenario 1",0.181084799286173
"46",2028,"Business as usual",0.185335016023862
"47",2028,"Scenario 4",0.176499128615572
"48",2028,"Scenario 5",0.167331907968509
"49",2029,"Alt Scenario 1",0.180319802643038
"50",2029,"Business as usual",0.185432595038223
"51",2029,"Scenario 4",0.174824286213308
"52",2029,"Scenario 5",0.163857852459423
"53",2030,"Alt Scenario 1",0.17981243635462
"54",2030,"Business as usual",0.185825341138478
"55",2030,"Scenario 4",0.173371348849569
"56",2030,"Scenario 5",0.160543768591582
"57",2031,"Alt Scenario 1",0.178868157395215
"58",2031,"Business as usual",0.185792188224269
"59",2031,"Scenario 4",0.171473876370776
"60",2031,"Scenario 5",0.156783664034327
"61",2032,"Alt Scenario 1",0.178032529925906
"62",2032,"Business as usual",0.185879439369549
"63",2032,"Scenario 4",0.169645668111693
"64",2032,"Scenario 5",0.153060525040315
"65",2033,"Alt Scenario 1",0.177153760086182
"66",2033,"Business as usual",0.185925955100702
"67",2033,"Scenario 4",0.167749310162276
"68",2033,"Scenario 5",0.149257160246758
"69",2034,"Alt Scenario 1",0.176165985128008
"70",2034,"Business as usual",0.185871689852519
