"","year","intervention","x50q30"
"1",2017,"Business as usual",0.198037365749533
"2",2017,"Scenario 1",0.198037365749533
"3",2017,"Scenario 2",0.198037365749533
"4",2017,"Scenario 3",0.198037365749533
"5",2017,"Scenario 4",0.198037365749533
"6",2018,"Business as usual",0.191739717559872
"7",2018,"Scenario 1",0.191739717559872
"8",2018,"Scenario 2",0.191739717559872
"9",2018,"Scenario 3",0.191739717559872
"10",2018,"Scenario 4",0.191739717559872
"11",2019,"Business as usual",0.191090660026931
"12",2019,"Scenario 1",0.191090660026931
"13",2019,"Scenario 2",0.191090660026931
"14",2019,"Scenario 3",0.191090660026931
"15",2019,"Scenario 4",0.191090660026931
"16",2020,"Business as usual",0.189950109869859
"17",2020,"Scenario 1",0.189950109869859
"18",2020,"Scenario 2",0.189950109869859
"19",2020,"Scenario 3",0.189950109869859
"20",2020,"Scenario 4",0.189950109869859
"21",2021,"Business as usual",0.18883486371158
"22",2021,"Scenario 1",0.18883486371158
"23",2021,"Scenario 2",0.18883486371158
"24",2021,"Scenario 3",0.18883486371158
"25",2021,"Scenario 4",0.18883486371158
"26",2022,"Business as usual",0.187354131057409
"27",2022,"Scenario 1",0.187354131057409
"28",2022,"Scenario 2",0.187354131057409
"29",2022,"Scenario 3",0.187354131057409
"30",2022,"Scenario 4",0.187354131057409
"31",2023,"Business as usual",0.186715299817212
"32",2023,"Scenario 1",0.186567898881209
"33",2023,"Scenario 2",0.18630988311261
"34",2023,"Scenario 3",0.186159308743703
"35",2023,"Scenario 4",0.185749116168825
"36",2024,"Business as usual",0.186483459254817
"37",2024,"Scenario 1",0.18616523055051
"38",2024,"Scenario 2",0.185605420071865
"39",2024,"Scenario 3",0.185264500447924
"40",2024,"Scenario 4",0.184342184827532
"41",2025,"Business as usual",0.186781114020978
"42",2025,"Scenario 1",0.186272183705108
"43",2025,"Scenario 2",0.185368058500345
"44",2025,"Scenario 3",0.184801880590308
"45",2025,"Scenario 4",0.183271113702452
"46",2026,"Business as usual",0.186811762059205
"47",2026,"Scenario 1",0.186097411465646
"48",2026,"Scenario 2",0.184812187929703
"49",2026,"Scenario 3",0.183991402325196
"50",2026,"Scenario 4",0.181766309739228
"51",2027,"Business as usual",0.187232587615219
"52",2027,"Scenario 1",0.18629971516362
"53",2027,"Scenario 2",0.184592809515829
"54",2027,"Scenario 3",0.183489362832313
"55",2027,"Scenario 4",0.180486991935823
"56",2028,"Business as usual",0.187875636112972
"57",2028,"Scenario 1",0.186709395461318
"58",2028,"Scenario 2",0.184539297328688
"59",2028,"Scenario 3",0.183122468144827
"60",2028,"Scenario 4",0.179250583003758
"61",2029,"Business as usual",0.188164853164277
"62",2029,"Scenario 1",0.1867538757381
"63",2029,"Scenario 2",0.184086909650739
"64",2029,"Scenario 3",0.182329322170888
"65",2029,"Scenario 4",0.177509232665723
"66",2030,"Business as usual",0.188807639158728
"67",2030,"Scenario 1",0.187137237803171
"68",2030,"Scenario 2",0.183930047511856
"69",2030,"Scenario 3",0.181799395470119
"70",2030,"Scenario 4",0.175939997312419
"71",2031,"Business as usual",0.189077502215704
"72",2031,"Scenario 1",0.187133660158669
"73",2031,"Scenario 2",0.183354775739301
"74",2031,"Scenario 3",0.18082342742685
