"","year","intervention","x50q30"
"1",2017,"Business as usual",0.198037365749533
"2",2017,"Scenario 1",0.198037365749533
"3",2017,"Scenario 2",0.198037365749533
"4",2017,"Scenario 3",0.198037365749533
"5",2017,"Scenario 4",0.198037365749533
"6",2018,"Business as usual",0.191739717559872
"7",2018,"Scenario 1",0.191739717559872
"8",2018,"Scenario 2",0.191739717559872
"9",2018,"Scenario 3",0.191739717559872
"10",2018,"Scenario 4",0.191739717559872
"11",2019,"Business as usual",0.191090660026931
"12",2019,"Scenario 1",0.191090660026931
"13",2019,"Scenario 2",0.191090660026931
"14",2019,"Scenario 3",0.191090660026931
"15",2019,"Scenario 4",0.191090660026931
"16",2020,"Business as usual",0.189950109869859
"17",2020,"Scenario 1",0.189950109869859
"18",2020,"Scenario 2",0.189950109869859
"19",2020,"Scenario 3",0.189950109869859
"20",2020,"Scenario 4",0.189950109869859
"21",2021,"Business as usual",0.18883486371158
"22",2021,"Scenario 1",0.18883486371158
"23",2021,"Scenario 2",0.18883486371158
"24",2021,"Scenario 3",0.18883486371158
"25",2021,"Scenario 4",0.18883486371158
"26",2022,"Business as usual",0.187354131057409
"27",2022,"Scenario 1",0.187354131057409
"28",2022,"Scenario 2",0.187354131057409
"29",2022,"Scenario 3",0.187354131057409
"30",2022,"Scenario 4",0.187354131057409
"31",2023,"Business as usual",0.186715299817212
"32",2023,"Scenario 1",0.186612691914302
"33",2023,"Scenario 2",0.186389393194451
"34",2023,"Scenario 3",0.18625907102773
"35",2023,"Scenario 4",0.185904010240421
"36",2024,"Business as usual",0.186483459254817
"37",2024,"Scenario 1",0.186257828267155
"38",2024,"Scenario 2",0.185774381259207
"39",2024,"Scenario 3",0.185476478057353
"40",2024,"Scenario 4",0.184676204307026
"41",2025,"Business as usual",0.186781114020978
"42",2025,"Scenario 1",0.1864149827826
"43",2025,"Scenario 2",0.185635921452095
"44",2025,"Scenario 3",0.185138028748284
"45",2025,"Scenario 4",0.183808137954717
"46",2026,"Business as usual",0.186811762059205
"47",2026,"Scenario 1",0.186291627885727
"48",2026,"Scenario 2",0.185186483619545
"49",2026,"Scenario 3",0.184461402756113
"50",2026,"Scenario 4",0.182526922256974
"51",2027,"Business as usual",0.187232587615219
"52",2027,"Scenario 1",0.186546522011214
"53",2027,"Scenario 2",0.185081466554551
"54",2027,"Scenario 3",0.18410326399761
"55",2027,"Scenario 4",0.181491779786568
"56",2028,"Business as usual",0.187875636112972
"57",2028,"Scenario 1",0.18701027846143
"58",2028,"Scenario 2",0.185150668088626
"59",2028,"Scenario 3",0.183891243483548
"60",2028,"Scenario 4",0.180522358817982
"61",2029,"Business as usual",0.188164853164277
"62",2029,"Scenario 1",0.187109751541102
"63",2029,"Scenario 2",0.184827649014068
"64",2029,"Scenario 3",0.1832621542012
"65",2029,"Scenario 4",0.179067390601393
"66",2030,"Business as usual",0.188807639158728
"67",2030,"Scenario 1",0.187549726805348
"68",2030,"Scenario 2",0.184808775572063
"69",2030,"Scenario 3",0.182907864050684
"70",2030,"Scenario 4",0.177807559987176
"71",2031,"Business as usual",0.189077502215704
"72",2031,"Scenario 1",0.187604535707269
"73",2031,"Scenario 2",0.184378675024866
"74",2031,"Scenario 3",0.182117672976848
