"","intervention","year","location","Incidence","Prevalence","CVD_deaths","All_deaths"
"1","Base case, population-wide",2040,"Afghanistan",313241.29488886,3075112.92334766,116732.26099181,297114.581045089
"2","Base case, population-wide",2040,"Albania",29747.5466370949,199958.847619334,18124.5391406855,31576.287668732
"3","Base case, population-wide",2040,"Algeria",522422.123461885,6982098.86161113,194685.428322871,324980.054768993
"4","Base case, population-wide",2040,"Angola",123188.516115675,906394.181543053,45907.3380459335,190603.192828859
"5","Base case, population-wide",2040,"Antigua and Barbuda",1112.27304025578,6817.92404908787,239.709547142319,962.499179262108
"6","Base case, population-wide",2040,"Argentina",157639.153369146,1337189.95197731,96046.1392060071,438554.544394846
"7","Base case, population-wide",2040,"Armenia",31171.0912296433,277492.795115634,18991.8741851822,34712.784371202
"8","Base case, population-wide",2040,"Australia",311393.878676366,1987435.24175691,67109.4982426591,228554.233426709
"9","Base case, population-wide",2040,"Austria",148334.158826242,503396.864581103,31967.9725670584,87363.1785225509
"10","Base case, population-wide",2040,"Azerbaijan",150399.333028964,1641498.30521813,91635.0726825064,135277.727394849
"11","Base case, population-wide",2040,"Bahrain",24406.6554412488,313064.370632725,5259.95696320662,12536.3574847689
"12","Base case, population-wide",2040,"Bangladesh",1596817.11616163,12942471.1341662,595068.643251857,1077787.61640042
"13","Base case, population-wide",2040,"Barbados",4331.67929874922,29577.4385023322,933.534164264341,3871.02516217372
"14","Base case, population-wide",2040,"Belarus",149411.842510302,912203.326618853,91033.4159887667,126690.596947926
"15","Base case, population-wide",2040,"Belgium",137050.733487411,572481.354483014,29536.2452120887,117117.834257841
"16","Base case, population-wide",2040,"Belize",1901.47210985712,28546.9826883549,708.601139818564,3099.78343249068
"17","Base case, population-wide",2040,"Benin",53702.9758503064,404517.504253035,20012.9098406999,76160.4124693514
"18","Base case, population-wide",2040,"Bhutan",4419.5421498381,41875.1503788451,1646.98319192638,5695.72210995402
"19","Base case, population-wide",2040,"Bolivia",58189.8767704195,351937.322563726,21684.9949003561,98118.0666081693
"20","Base case, population-wide",2040,"Bosnia and Herzegovina",36391.8097415141,277868.74231707,22172.7454740067,45560.4265460357
"21","Base case, population-wide",2040,"Botswana",8854.7617466917,101542.66876625,5395.01552236346,22089.1835364906
"22","Base case, population-wide",2040,"Brazil",823690.440453475,11488905.5101763,501856.835789985,1849980.88700387
"23","Base case, population-wide",2040,"Brunei",4045.58203122485,19024.2020350553,871.876420207944,4351.08521379993
"24","Base case, population-wide",2040,"Bulgaria",98090.3859092279,649219.031736022,59764.3583998887,97518.7372865425
"25","Base case, population-wide",2040,"Burkina Faso",89828.6078992595,637674.747636573,33475.4602056788,145298.232134873
"26","Base case, population-wide",2040,"Burundi",53965.0336304812,383608.254152586,20110.568092308,73764.2978999858
"27","Base case, population-wide",2040,"Cambodia",138404.715227288,720922.913404307,51577.7951503529,144068.494714042
"28","Base case, population-wide",2040,"Cameroon",125677.978175427,924778.56261876,46835.0590700446,187369.522601363
"29","Base case, population-wide",2040,"Canada",520344.965256796,2339714.64090433,112141.220244635,389710.260778766
"30","Base case, population-wide",2040,"Cape Verde",2914.77700153826,24912.1616375885,1086.21856450061,5578.19049966859
"31","Base case, population-wide",2040,"Central African Republic",26030.9881799649,138531.095949731,9700.6881138597,57235.9737123337
"32","Base case, population-wide",2040,"Chad",57146.6098509437,459060.318477128,21296.2118493488,97219.7935573621
"33","Base case, population-wide",2040,"Chile",187852.089107571,783937.353173768,40484.6090662769,158250.832912715
