"location_name","iso3","wb2021","cause","pp_aware","pp_trt","pp_ctrl","pp_initiation","pp_adherence","sp_aware","sp_trt","sp_ctrl","sp_initiation","sp_adherence"
"Afghanistan","AFG","LIC","ihd",0.530227988677882,0.142998009268691,0.046141242390885,0.269691552166559,0.322670522665713,0.667,0.0670842287015331,0.0167710571753833,0.100576055024787,0.25
"Albania","ALB","UMIC","ihd",0.452325961365443,0.13709722270303,0.0353317180151605,0.303093862419864,0.257712864772567,0.667,0.183616377740299,0.0500771939291724,0.275286923148874,0.272727272727273
"Algeria","DZA","LMIC","ihd",0.481151215661976,0.146071271004949,0.0596534105501924,0.303587035115316,0.408385647224026,0.667,0.197687996228043,0.0329479993713405,0.296383802440844,0.166666666666667
"Andorra","AND","HIC","ihd",0.669306064637308,0.375090116481886,0.225258506321777,0.56041643173388,0.600545032843209,0.667,0.583034951546718,0.331269858833363,0.874115369635259,0.568181818181818
"Angola","AGO","LMIC","ihd",0.445495470657047,0.0813572656636497,0.0399906249592566,0.182621981641381,0.491543375174227,0.667,0.0919909672171258,0.015331827869521,0.137917492079649,0.166666666666667
"Antigua and Barbuda","ATG","HIC","ihd",0.630296004547304,0.227998448493732,0.106338319726171,0.361732339803561,0.466399312928193,0.667,0.34129214976632,0.193915994185409,0.511682383457751,0.568181818181818
"Argentina","ARG","UMIC","ihd",0.59892934496543,0.18394201631525,0.0669194277930817,0.307118056347476,0.363807188447861,0.667,0.263565162353225,0.0718814079145159,0.395150168445615,0.272727272727273
"Armenia","ARM","UMIC","ihd",0.414942508647467,0.108055525760216,0.0331158886302986,0.26041083646125,0.306471033270296,0.667,0.139339450757074,0.0380016683882928,0.208904723773723,0.272727272727273
"Australia","AUS","HIC","ihd",0.623284129748856,0.28868245055885,0.155754763714412,0.463163486410557,0.539536654940029,0.667,0.474021439436387,0.269330363316129,0.710676820744208,0.568181818181818
"Austria","AUT","HIC","ihd",0.665869387115823,0.337837974231409,0.165493928312863,0.507363727434198,0.489861830036623,0.667,0.514720691517816,0.292454938362396,0.771695189681884,0.568181818181818
"Azerbaijan","AZE","UMIC","ihd",0.53831941133554,0.164218188227115,0.0541243931609932,0.305057155230012,0.329588298015679,0.667,0.228333498054038,0.0622727721965557,0.342329082539787,0.272727272727273
"Bahamas","BHS","HIC","ihd",0.653471330878008,0.260145645670574,0.109864987484436,0.398098024164337,0.422321070188348,0.667,0.394767464400903,0.224299695682332,0.591855268966872,0.568181818181818
"Bahrain","BHR","HIC","ihd",0.468496850129875,0.188989977901575,0.0908128435821241,0.403396475022583,0.480516716232535,0.667,0.370011797697936,0.210233975964736,0.554740326383712,0.568181818181818
"Bangladesh","BGD","LMIC","ihd",0.478740448145745,0.126166299106522,0.0493515171513249,0.263537997666979,0.39116243799509,0.667,0.0892937700163983,0.0148822950027331,0.133873718165515,0.166666666666667
"Barbados","BRB","HIC","ihd",0.723257840558222,0.287710006645485,0.160229601604542,0.397797286820183,0.556913551505269,0.667,0.348685382741448,0.198116694739459,0.522766690766788,0.568181818181818
"Belarus","BLR","UMIC","ihd",0.701645194064933,0.202759322804872,0.0426545854073907,0.288976999372289,0.210370526086438,0.667,0.24096901792767,0.0657188230711827,0.361272890446282,0.272727272727273
"Belgium","BEL","HIC","ihd",0.705774688571138,0.378908093059108,0.237581954423061,0.536868350756839,0.627017365886664,0.667,0.536568543587556,0.304868490674748,0.80445059008629,0.568181818181818
"Belize","BLZ","LMIC","ihd",0.575938732581597,0.163145010592879,0.0786007220559149,0.283267995992551,0.481784406217973,0.667,0.17361860807163,0.0289364346786051,0.260297763225833,0.166666666666667
"Benin","BEN","LMIC","ihd",0.361066384780921,0.0762799684768603,0.0294325316662367,0.211263002295668,0.385848765461475,0.667,0.0461925177411169,0.00769875295685282,0.0692541495369069,0.166666666666667
"Bhutan","BTN","LMIC","ihd",0.453043806180046,0.0882864042665459,0.030366567120135,0.194873879881407,0.343955191882718,0.667,0.112847625796887,0.0188079376328145,0.169186845272694,0.166666666666667
"Bolivia (Plurinational State of)","BOL","LMIC","ihd",0.603821997824033,0.183437630889446,0.0980989579505088,0.303794216756747,0.534780990546214,0.667,0.164291985381702,0.027381997563617,0.246314820662222,0.166666666666667
"Bosnia and Herzegovina","BIH","UMIC","ihd",0.605049558618726,0.222500108735636,0.0723846631635423,0.367738651431436,0.325324169839155,0.667,0.254676180230056,0.0694571400627424,0.381823358665751,0.272727272727273
"Botswana","BWA","UMIC","ihd",0.552779428596082,0.149888940247969,0.0673226519593412,0.271155062026545,0.449150229816596,0.667,0.217996016878514,0.0594534591486857,0.326830610012765,0.272727272727273
"Brazil","BRA","UMIC","ihd",0.676304592396842,0.279089876144185,0.1504200052897,0.412668905818136,0.538966183108658,0.667,0.33015578580628,0.0900424870380764,0.494986185616612,0.272727272727273
"Brunei Darussalam","BRN","HIC","ihd",0.64189722199808,0.341373024304053,0.181261371184458,0.531818821775605,0.530977430199678,0.667,0.549780476856165,0.312375270941003,0.824258585991252,0.568181818181818
"Bulgaria","BGR","UMIC","ihd",0.676176837757372,0.261120524600079,0.110915986636216,0.386171944999062,0.424769316031707,0.667,0.343596963011046,0.0937082626393762,0.51513787557878,0.272727272727273
"Burkina Faso","BFA","LIC","ihd",0.336549026604456,0.0569051071535358,0.0250795539302874,0.169084153140089,0.440725888848961,0.667,0.0323921196418352,0.0080980299104588,0.0485638975139958,0.25
"Burundi","BDI","LIC","ihd",0.368125438099291,0.0697425300701803,0.0326974404560487,0.189453166915809,0.468830718116278,0.667,0.0211321344331533,0.00528303360828832,0.0316823604694952,0.25
"Cabo Verde","CPV","LMIC","ihd",0.499049787781814,0.117935543580343,0.046311250966808,0.236320195835661,0.392682727877187,0.667,0.123806695437784,0.0206344492396307,0.185617234539406,0.166666666666667
"Cambodia","KHM","LMIC","ihd",0.479449565764248,0.117544976792225,0.0707449187921246,0.245166510068389,0.601854036835405,0.667,0.085701354303589,0.0142835590505982,0.128487787561603,0.166666666666667
"Cameroon","CMR","LMIC","ihd",0.335276800602917,0.0567133674689398,0.0220250324718327,0.169153867392417,0.388356986276563,0.667,0.0494243915320974,0.00823739858868289,0.0740995375293813,0.166666666666667
"Canada","CAN","HIC","ihd",0.794448589358089,0.495786743638207,0.405589329934338,0.624063973779348,0.818072155294074,0.667,0.616783076602734,0.350444929887917,0.924712258774713,0.568181818181818
"Central African Republic","CAF","LIC","ihd",0.303692287057094,0.0518046502290075,0.017643717846922,0.170582699781468,0.340581738684195,0.667,0.0174333640855659,0.00435834102139148,0.0261369776395291,0.25
"Chad","TCD","LIC","ihd",0.373019902614304,0.0734281092436194,0.0348497224466279,0.196847698283656,0.474610102392854,0.667,0.0435838075533397,0.0108959518883349,0.0653430398101045,0.25
"Chile","CHL","HIC","ihd",0.724775977936221,0.29499116748963,0.167539126552848,0.40701013343407,0.567946247267685,0.667,0.398087421603281,0.226186035001864,0.596832716046898,0.568181818181818
"China","CHN","UMIC","ihd",0.531584804828519,0.165940843852466,0.06618656489887,0.312162504167131,0.398856383770802,0.667,0.227489424321335,0.0620425702694549,0.341063604679662,0.272727272727273
"Colombia","COL","UMIC","ihd",0.683139812015698,0.232578226056156,0.138007390562903,0.340454797049381,0.593380527932916,0.667,0.279336132095896,0.076182581480699,0.418794800743473,0.272727272727273
"Comoros","COM","LMIC","ihd",0.381342559201212,0.0721242252090168,0.0335760742139928,0.189132378405635,0.465531159838306,0.667,0.0363571100046201,0.00605951833410335,0.0545084108015294,0.166666666666667
"Congo","COG","LMIC","ihd",0.349339417621008,0.0740122114413573,0.0309989763332118,0.211863327492153,0.418835969490973,0.667,0.0791243934976952,0.0131873989162825,0.118627276608239,0.166666666666667
"Costa Rica","CRI","UMIC","ihd",0.77264575525881,0.339650895162759,0.240817443603711,0.439594591507188,0.709014600089048,0.667,0.388304151422058,0.105901132206016,0.582165144560806,0.272727272727273
"Croatia","HRV","HIC","ihd",0.778191424418627,0.282622040932254,0.101118589180226,0.363178045997354,0.357787343289566,0.667,0.388084361497277,0.220502478123453,0.581835624433699,0.568181818181818
"Cuba","CUB","UMIC","ihd",0.71811626192016,0.257037391999561,0.138208093601865,0.357932838496474,0.53769645158126,0.667,0.248230737666234,0.0676992920907911,0.372160026486108,0.272727272727273
"Cyprus","CYP","HIC","ihd",0.671344550403989,0.30255289527092,0.181640447269489,0.450667090525805,0.600359309425346,0.667,0.443137827591174,0.251782856585894,0.664374554109706,0.568181818181818
"Czechia","CZE","HIC","ihd",0.764404586258528,0.381498338447816,0.216020346245993,0.499079081033653,0.566241905862302,0.667,0.510334385455789,0.289962719008971,0.765119018674346,0.568181818181818
"Côte d'Ivoire","CIV","LMIC","ihd",0.357063935373729,0.072412008160506,0.0275805921726403,0.202798437441502,0.380884232785067,0.667,0.0625646268906052,0.0104274378151009,0.09380004031575,0.166666666666667
"Democratic People's Republic of Korea","PRK","LIC","ihd",0.541766210863652,0.147118057969097,0.0769884624892975,0.271552664265588,0.523310758394251,0.667,0.0678776677261356,0.0169694169315339,0.101765618779813,0.25
"Democratic Republic of the Congo","COD","LIC","ihd",0.368699715088795,0.078201266770197,0.0355278985703847,0.21210015513943,0.454313594110787,0.667,0.0258646046154305,0.00646615115385761,0.0387775181640636,0.25
"Denmark","DNK","HIC","ihd",0.610523188833201,0.169176997969136,0.0596742216393299,0.277101674536651,0.352732477557124,0.667,0.367439037632289,0.208772180472892,0.550883114890988,0.568181818181818
"Djibouti","DJI","LMIC","ihd",0.380824343981613,0.0763785978775531,0.035523027322784,0.200561227465124,0.465091377819386,0.667,0.0607890926460823,0.0101315154410137,0.0911380699341564,0.166666666666667
"Dominica","DMA","UMIC","ihd",0.585466960138375,0.183117447162172,0.0703071877068678,0.312771615872042,0.383945870786429,0.667,0.208822131104016,0.0569514903010953,0.313076658326861,0.272727272727273
"Dominican Republic","DOM","UMIC","ihd",0.670650658066617,0.224262934746036,0.0904738633696657,0.334396055604496,0.403427626023541,0.667,0.280222782440368,0.0764243952110095,0.42012411160475,0.272727272727273
"Ecuador","ECU","UMIC","ihd",0.621165965592846,0.199323351889846,0.116181149620239,0.320885822679629,0.582877763787785,0.667,0.229828293942673,0.0626804438025472,0.344570155836091,0.272727272727273
"Egypt","EGY","LMIC","ihd",0.508245022285502,0.162155792733238,0.0703792038091691,0.319050429660969,0.434022137741016,0.667,0.195780838113415,0.0326301396855691,0.293524494922661,0.166666666666667
"El Salvador","SLV","LMIC","ihd",0.715711552765542,0.247826970198132,0.152192198947665,0.346266550037535,0.614106684296673,0.667,0.240650362984559,0.0401083938307598,0.360795146903387,0.166666666666667
"Equatorial Guinea","GNQ","UMIC","ihd",0.366274587939657,0.102701578779002,0.0477780121418943,0.280395042846712,0.465212051361989,0.667,0.236267072834813,0.0644364744094945,0.354223497503468,0.272727272727273
"Eritrea","ERI","LIC","ihd",0.371195085750391,0.0754680693887125,0.0396496068860366,0.203311068184402,0.52538255194808,0.667,0.0363067318362339,0.00907668295905847,0.054432881313694,0.25
"Estonia","EST","HIC","ihd",0.527316365795657,0.187108634406905,0.0751368184723534,0.354831836339045,0.401567884403204,0.667,0.32371461069482,0.183928756076602,0.485329251416521,0.568181818181818
"Eswatini","SWZ","LMIC","ihd",0.453956443598083,0.110850058506953,0.040968375078476,0.244186551529812,0.369583702798914,0.667,0.133204831143366,0.0222008051905611,0.19970739301854,0.166666666666667
"Ethiopia","ETH","LIC","ihd",0.316858621692839,0.0454194535399615,0.0180207302658494,0.143342962540533,0.396762375179044,0.667,0.0266358862140509,0.00665897155351271,0.0399338623898813,0.25
"Fiji","FJI","UMIC","ihd",0.524228675383483,0.124237553570005,0.0452247118238475,0.236991144139765,0.364018048684164,0.667,0.144939820501159,0.0395290419548615,0.217301080211633,0.272727272727273
"Finland","FIN","HIC","ihd",0.719445961210856,0.320142093519317,0.169054741589532,0.444984211156742,0.528061585813712,0.667,0.486845880364741,0.276616977479967,0.729903868612805,0.568181818181818
"France","FRA","HIC","ihd",0.684494287487261,0.319315486027188,0.168894846886516,0.466498394310019,0.528927829300881,0.667,0.484774863229866,0.275440263198788,0.726798895397101,0.568181818181818
"Gabon","GAB","UMIC","ihd",0.386757750365934,0.103557411637235,0.0483887414228615,0.267757818787739,0.467264879044764,0.667,0.179651357924587,0.0489958248885239,0.269342365704029,0.272727272727273
"Gambia","GMB","LIC","ihd",0.410485069069788,0.08092420180453,0.0283301936808601,0.197142863168969,0.350083078351404,0.667,0.0417245692451078,0.0104311423112769,0.0625555760796219,0.25
"Georgia","GEO","UMIC","ihd",0.667259984441527,0.201074764215805,0.0695791762024513,0.301343957234446,0.346036343614831,0.667,0.219272652241417,0.0598016324294774,0.328744606059096,0.272727272727273
"Germany","DEU","HIC","ihd",0.746321655851805,0.416510251591356,0.294762932793773,0.558084102646032,0.707696705345369,0.667,0.57218343634255,0.325104225194631,0.857846231398127,0.568181818181818
"Ghana","GHA","LMIC","ihd",0.459579478141585,0.114873116527399,0.0589511217008001,0.249952667581928,0.513184663939531,0.667,0.0879592646891294,0.0146598774481882,0.131872960553417,0.166666666666667
"Greece","GRC","HIC","ihd",0.694676490610238,0.350927022246821,0.190843496980033,0.505166112557731,0.543826735707475,0.667,0.460311708591266,0.261540743517765,0.690122501636081,0.568181818181818
"Grenada","GRD","UMIC","ihd",0.637318445548357,0.20047272455381,0.080753878146591,0.314556601890474,0.402817282631959,0.667,0.255630682521358,0.0697174588694612,0.383254396583745,0.272727272727273
"Guatemala","GTM","UMIC","ihd",0.535534709924617,0.121809982013669,0.065716619910684,0.227454877818872,0.539501105117228,0.667,0.13248442332251,0.0361321154515937,0.198627321323104,0.272727272727273
"Guinea","GIN","LIC","ihd",0.394577057551687,0.0653786830921585,0.0211882431084682,0.165693067655345,0.324084886791021,0.667,0.0358271746023001,0.00895679365057502,0.0537139049509746,0.25
"Guinea-Bissau","GNB","LIC","ihd",0.396403900084904,0.077312967062033,0.0333014816390906,0.19503583856131,0.430736044735817,0.667,0.0359666628551463,0.00899166571378658,0.0539230327663363,0.25
"Guyana","GUY","UMIC","ihd",0.627254245854713,0.176084660878896,0.0753667950383907,0.280722947740208,0.428014539496003,0.667,0.172534624275216,0.0470548975296043,0.258672600112767,0.272727272727273
"Haiti","HTI","LMIC","ihd",0.528802983861415,0.0850493412850238,0.0253517021083561,0.160833701549825,0.298082286415312,0.667,0.0420679978047175,0.00701133296745292,0.0630704614763381,0.166666666666667
"Honduras","HND","LMIC","ihd",0.631101314955393,0.205291702130713,0.117063369804204,0.325291196937567,0.570229427634968,0.667,0.158873410687379,0.0264789017812298,0.238191020520808,0.166666666666667
"Hungary","HUN","HIC","ihd",0.649894976256798,0.283686665773893,0.121320949380793,0.436511553617237,0.427658272375375,0.667,0.406901170287077,0.231193846754021,0.610046732064582,0.568181818181818
"Iceland","ISL","HIC","ihd",0.838155723126714,0.475567553222805,0.339070297153426,0.567397608941587,0.712980300812429,0.667,0.606214129805062,0.344439846480149,0.90886676132693,0.568181818181818
"India","IND","LMIC","ihd",0.357479864869729,0.104240024924698,0.0519914638492557,0.291596912633623,0.498766801780927,0.667,0.109551996958021,0.0182586661596702,0.164245872500781,0.166666666666667
"Indonesia","IDN","LMIC","ihd",0.342538153929795,0.0665640079529287,0.0160503385768997,0.194325820902775,0.241126384520744,0.667,0.112860779604118,0.0188101299340197,0.169206566123116,0.166666666666667
"Iran (Islamic Republic of)","IRN","LMIC","ihd",0.569219009948076,0.191253182016991,0.0976008344495755,0.335992260754673,0.510322669773436,0.667,0.258900140251402,0.0431500233752336,0.388156132310947,0.166666666666667
