"location_name","year","scenario","Control","Treated","Aware"
"Afghanistan",2017,"Baseline",0.00608465014126836,0.062893825024041,0.667
"Afghanistan",2017,"Scenario 1",0.00608465014126836,0.062893825024041,0.667
"Afghanistan",2017,"Scenario 2",0.00608465014126836,0.062893825024041,0.667
"Afghanistan",2017,"Scenario 3",0.00608465014126836,0.062893825024041,0.667
"Afghanistan",2017,"Scenario 4",0.00608465014126836,0.062893825024041,0.667
"Afghanistan",2018,"Baseline",0.00608465014126836,0.062893825024041,0.667
"Afghanistan",2018,"Scenario 1",0.00608465014126836,0.062893825024041,0.667
"Afghanistan",2018,"Scenario 2",0.00608465014126836,0.062893825024041,0.667
"Afghanistan",2018,"Scenario 3",0.00608465014126836,0.062893825024041,0.667
"Afghanistan",2018,"Scenario 4",0.00608465014126836,0.062893825024041,0.667
"Afghanistan",2019,"Baseline",0.00608465014126836,0.062893825024041,0.667
"Afghanistan",2019,"Scenario 1",0.00608465014126836,0.062893825024041,0.667
"Afghanistan",2019,"Scenario 2",0.00608465014126836,0.062893825024041,0.667
"Afghanistan",2019,"Scenario 3",0.00608465014126836,0.062893825024041,0.667
"Afghanistan",2019,"Scenario 4",0.00608465014126836,0.062893825024041,0.667
"Afghanistan",2020,"Baseline",0.00608465014126836,0.062893825024041,0.667
"Afghanistan",2020,"Scenario 1",0.00608465014126836,0.062893825024041,0.667
"Afghanistan",2020,"Scenario 2",0.00608465014126836,0.062893825024041,0.667
"Afghanistan",2020,"Scenario 3",0.00608465014126836,0.062893825024041,0.667
"Afghanistan",2020,"Scenario 4",0.00608465014126836,0.062893825024041,0.667
"Afghanistan",2021,"Baseline",0.00608465014126836,0.062893825024041,0.667
"Afghanistan",2021,"Scenario 1",0.00608465014126836,0.062893825024041,0.667
"Afghanistan",2021,"Scenario 2",0.00608465014126836,0.062893825024041,0.667
"Afghanistan",2021,"Scenario 3",0.00608465014126836,0.062893825024041,0.667
"Afghanistan",2021,"Scenario 4",0.00608465014126836,0.062893825024041,0.667
"Afghanistan",2022,"Baseline",0.00608465014126836,0.062893825024041,0.667
"Afghanistan",2022,"Scenario 1",0.00608465014126836,0.062893825024041,0.667
"Afghanistan",2022,"Scenario 2",0.00608465014126836,0.062893825024041,0.667
"Afghanistan",2022,"Scenario 3",0.00608465014126836,0.062893825024041,0.667
"Afghanistan",2022,"Scenario 4",0.00608465014126836,0.062893825024041,0.667
"Afghanistan",2023,"Baseline",0.00644363321594134,0.0639580330779829,0.678286112296524
"Afghanistan",2023,"Scenario 1",0.00772279387750099,0.0639580330779829,0.678286112296524
"Afghanistan",2023,"Scenario 2",0.00850598679527446,0.0707408942009482,0.678286112296524
"Afghanistan",2023,"Scenario 3",0.00863139090780266,0.0717838301083551,0.688286112296524
"Afghanistan",2023,"Scenario 4",0.00956308122878432,0.0798096271387272,0.698286112296524
"Afghanistan",2024,"Baseline",0.0068109215992628,0.0650201903275904,0.689550475454868
"Afghanistan",2024,"Scenario 1",0.00941172921236641,0.0650201903275904,0.689550475454868
