"wbregion","year","measure","scenario","val","Measure","newx"
"East Asia and Pacific",2040,"HF","Targeted",845598.600642138,"HF (Targeted)","East Asia and
Pacific"
"East Asia and Pacific",2040,"MI","Targeted",3314593.01223832,"MI (Targeted)","East Asia and
Pacific"
"East Asia and Pacific",2040,"Stroke","Targeted",2888777.56537722,"Stroke (Targeted)","East Asia and
Pacific"
"Europe and Central Asia",2040,"HF","Targeted",683963.043181276,"HF (Targeted)","Europe and Central
Asia"
"Europe and Central Asia",2040,"MI","Targeted",2285136.65466792,"MI (Targeted)","Europe and Central
Asia"
"Europe and Central Asia",2040,"Stroke","Targeted",1743688.71068278,"Stroke (Targeted)","Europe and Central
Asia"
"Latin America and the Caribbean",2040,"HF","Targeted",131151.138918372,"HF (Targeted)","Latin America and
the Caribbean"
"Latin America and the Caribbean",2040,"MI","Targeted",451088.476432982,"MI (Targeted)","Latin America and
the Caribbean"
"Latin America and the Caribbean",2040,"Stroke","Targeted",436222.808169738,"Stroke (Targeted)","Latin America and
the Caribbean"
"Middle East and North Africa",2040,"HF","Targeted",127723.2591284,"HF (Targeted)","Middle East and
North Africa"
"Middle East and North Africa",2040,"MI","Targeted",847967.25081521,"MI (Targeted)","Middle East and
North Africa"
"Middle East and North Africa",2040,"Stroke","Targeted",504504.119759694,"Stroke (Targeted)","Middle East and
North Africa"
"North America",2040,"HF","Targeted",270699.423764517,"HF (Targeted)","North America"
"North America",2040,"MI","Targeted",778737.608715133,"MI (Targeted)","North America"
"North America",2040,"Stroke","Targeted",544276.376312414,"Stroke (Targeted)","North America"
"South Asia",2040,"HF","Targeted",214592.702682355,"HF (Targeted)","South Asia"
"South Asia",2040,"MI","Targeted",2647198.81010794,"MI (Targeted)","South Asia"
"South Asia",2040,"Stroke","Targeted",1393863.53444198,"Stroke (Targeted)","South Asia"
"Sub-Saharan Africa",2040,"HF","Targeted",69372.846862014,"HF (Targeted)","Sub-Saharan Africa"
"Sub-Saharan Africa",2040,"MI","Targeted",751796.839746035,"MI (Targeted)","Sub-Saharan Africa"
"Sub-Saharan Africa",2040,"Stroke","Targeted",415590.057664068,"Stroke (Targeted)","Sub-Saharan Africa"
"East Asia and Pacific",2045,"HF","Targeted",1628460.1915057,"HF (Targeted)","East Asia and
Pacific"
"East Asia and Pacific",2045,"MI","Targeted",6430936.98456031,"MI (Targeted)","East Asia and
Pacific"
"East Asia and Pacific",2045,"Stroke","Targeted",5600749.60736188,"Stroke (Targeted)","East Asia and
Pacific"
"Europe and Central Asia",2045,"HF","Targeted",1202802.00460474,"HF (Targeted)","Europe and Central
Asia"
"Europe and Central Asia",2045,"MI","Targeted",4002821.38715794,"MI (Targeted)","Europe and Central
Asia"
"Europe and Central Asia",2045,"Stroke","Targeted",3058580.19696243,"Stroke (Targeted)","Europe and Central
Asia"
"Latin America and the Caribbean",2045,"HF","Targeted",260289.501984239,"HF (Targeted)","Latin America and
the Caribbean"
"Latin America and the Caribbean",2045,"MI","Targeted",895207.639942114,"MI (Targeted)","Latin America and
the Caribbean"
"Latin America and the Caribbean",2045,"Stroke","Targeted",867256.363747373,"Stroke (Targeted)","Latin America and
the Caribbean"
"Middle East and North Africa",2045,"HF","Targeted",278220.561842699,"HF (Targeted)","Middle East and
North Africa"
"Middle East and North Africa",2045,"MI","Targeted",1769702.05613411,"MI (Targeted)","Middle East and
North Africa"
"Middle East and North Africa",2045,"Stroke","Targeted",1059985.42845098,"Stroke (Targeted)","Middle East and
North Africa"
"North America",2045,"HF","Targeted",497249.513615901,"HF (Targeted)","North America"
"North America",2045,"MI","Targeted",1430468.1250628,"MI (Targeted)","North America"
"North America",2045,"Stroke","Targeted",999784.778372505,"Stroke (Targeted)","North America"
"South Asia",2045,"HF","Targeted",436021.69337373,"HF (Targeted)","South Asia"
"South Asia",2045,"MI","Targeted",5378617.55840879,"MI (Targeted)","South Asia"
"South Asia",2045,"Stroke","Targeted",2832093.87137349,"Stroke (Targeted)","South Asia"
"Sub-Saharan Africa",2045,"HF","Targeted",149255.343417315,"HF (Targeted)","Sub-Saharan Africa"
"Sub-Saharan Africa",2045,"MI","Targeted",1623306.04416513,"MI (Targeted)","Sub-Saharan Africa"
"Sub-Saharan Africa",2045,"Stroke","Targeted",896105.29500955,"Stroke (Targeted)","Sub-Saharan Africa"
"East Asia and Pacific",2050,"HF","Targeted",2795416.36476697,"HF (Targeted)","East Asia and
Pacific"
"East Asia and Pacific",2050,"MI","Targeted",11117003.2842475,"MI (Targeted)","East Asia and
Pacific"
"East Asia and Pacific",2050,"Stroke","Targeted",9688099.29025142,"Stroke (Targeted)","East Asia and
Pacific"
"Europe and Central Asia",2050,"HF","Targeted",1880884.25776719,"HF (Targeted)","Europe and Central
Asia"
