"wbregion","year","Scenario","val","newx"
"East Asia and Pacific",2040,"Targeted",3559353.83414324,"East Asia and
Pacific"
"Europe and Central Asia",2040,"Targeted",1615235.59550135,"Europe and Central
Asia"
"Latin America and the Caribbean",2040,"Targeted",556149.328538952,"Latin America and
the Caribbean"
"Middle East and North Africa",2040,"Targeted",522468.159046306,"Middle East and
North Africa"
"North America",2040,"Targeted",343466.312379861,"North America"
"South Asia",2040,"Targeted",1586034.07552276,"South Asia"
"Sub-Saharan Africa",2040,"Targeted",480950.696731254,"Sub-Saharan Africa"
"East Asia and Pacific",2045,"Targeted",6922578.51314778,"East Asia and
Pacific"
"Europe and Central Asia",2045,"Targeted",2829427.74386968,"Europe and Central
Asia"
"Latin America and the Caribbean",2045,"Targeted",1107531.38430711,"Latin America and
the Caribbean"
"Middle East and North Africa",2045,"Targeted",1082342.24180753,"Middle East and
North Africa"
"North America",2045,"Targeted",630915.47960923,"North America"
"South Asia",2045,"Targeted",3222560.637225,"South Asia"
"Sub-Saharan Africa",2045,"Targeted",1036556.1058267,"Sub-Saharan Africa"
"East Asia and Pacific",2050,"Targeted",12025638.5373127,"East Asia and
Pacific"
"Europe and Central Asia",2050,"Targeted",4425693.4280483,"Europe and Central
Asia"
"Latin America and the Caribbean",2050,"Targeted",1958624.90328082,"Latin America and
the Caribbean"
"Middle East and North Africa",2050,"Targeted",2013246.5067168,"Middle East and
North Africa"
"North America",2050,"Targeted",1011415.88359013,"North America"
"South Asia",2050,"Targeted",5863233.07871161,"South Asia"
"Sub-Saharan Africa",2050,"Targeted",1999899.12062756,"Sub-Saharan Africa"
"East Asia and Pacific",2040,"Population",3100980.09869169,"East Asia and
Pacific"
"Europe and Central Asia",2040,"Population",1729630.27358176,"Europe and Central
Asia"
"Latin America and the Caribbean",2040,"Population",527562.340106106,"Latin America and
the Caribbean"
"Middle East and North Africa",2040,"Population",468222.388154981,"Middle East and
North Africa"
"North America",2040,"Population",644342.387568805,"North America"
"South Asia",2040,"Population",1224254.43311436,"South Asia"
"Sub-Saharan Africa",2040,"Population",299492.925661378,"Sub-Saharan Africa"
"East Asia and Pacific",2045,"Population",5636904.24807473,"East Asia and
Pacific"
"Europe and Central Asia",2045,"Population",2652665.74802286,"Europe and Central
Asia"
"Latin America and the Caribbean",2045,"Population",914061.283812148,"Latin America and
the Caribbean"
"Middle East and North Africa",2045,"Population",915014.970233988,"Middle East and
North Africa"
"North America",2045,"Population",1054178.94823119,"North America"
"South Asia",2045,"Population",2431526.53765272,"South Asia"
"Sub-Saharan Africa",2045,"Population",631239.078472741,"Sub-Saharan Africa"
"East Asia and Pacific",2050,"Population",8543093.61156644,"East Asia and
Pacific"
"Europe and Central Asia",2050,"Population",3515626.40629166,"Europe and Central
Asia"
"Latin America and the Caribbean",2050,"Population",1347379.71540328,"Latin America and
the Caribbean"
"Middle East and North Africa",2050,"Population",1533707.51758929,"Middle East and
North Africa"
"North America",2050,"Population",1451756.72991035,"North America"
"South Asia",2050,"Population",4256485.99954632,"South Asia"
"Sub-Saharan Africa",2050,"Population",1148100.68293723,"Sub-Saharan Africa"
